MS2 ID,Retention Time (min),Rank,Identification,Precursor Mass,Library Mass,Delta m/z,Dot Product,Reverse Dot Product,Purity,Spectral Components,Optimal Polarity,LipiDex Spectrum,Library,Potential Fragments
216,0.862,1,LysoPI 20:4 [M-H]-;,619.288,619.2883,-0.4844,628,932,100,LysoPI 20:4 [M-H]-(100),true,true,LipiDex_HCD_Acetate.msp,78.9591 | 152.9958 | 171.0064 | 223.0013 | 241.0119 | 303.233 | 315.0487 | 333.0619 | 
248,0.982,1,LysoPC 14:0 [M+Ac-H]-;,526.314,526.3145,-0.95,375,1000,100,LysoPC 14:0 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 227.2017 | 241.0721 | 452.2783 | 
258,1.022,1,LysoPC 20:5 [M+Ac-H]-;,600.33,600.3301,-0.1666,759,773,100,LysoPC 20:5 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 301.2173 | 526.2939 | 
263,1.036,1,LysoPC 18:2 [M+Ac-H]-;,578.345,578.3458,-1.3833,856,856,100,LysoPC 18:2 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 279.233 | 504.3096 | 
264,1.038,1,LysoPC 20:4 [M+Ac-H]-;,602.345,602.3458,-1.3281,903,904,100,LysoPC 20:4 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 303.233 | 528.3096 | 
266,1.046,1,LysoPC 16:1 [M+Ac-H]-;,552.329,552.3301,-1.9916,548,629,100,LysoPC 16:1 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 253.2173 | 478.2939 | 
267,1.049,1,LysoPC 16:0 [M+Ac-H]-;,554.344,554.3458,-3.2471,974,974,100,LysoPC 16:0 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 255.233 | 480.3096 | 
269,1.055,1,LysoPE 20:4 [M-H]-;,500.277,500.2777,-1.3992,991,995,100,LysoPE 20:4 [M-H]-(100),true,true,LipiDex_HCD_Acetate.msp,78.9591 | 140.0118 | 196.038 | 214.0486 | 259.2431 | 303.233 | 
276,1.082,1,LysoPC 15:0 [M+Ac-H]-;,540.329,540.3301,-2.0358,279,1000,100,LysoPC 15:0 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 241.2173 | 466.2939 | 
277,1.085,1,LysoPC 20:3 [M+Ac-H]-;,604.361,604.3614,-0.6619,845,845,100,LysoPC 20:3 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 305.2486 | 530.3252 | 
295,1.156,1,LysoPE 16:0 [M-H]-;,452.277,452.2777,-1.5477,995,997,100,LysoPE 16:0 [M-H]-(100),true,true,LipiDex_HCD_Acetate.msp,78.9591 | 140.0118 | 196.038 | 214.0486 | 255.233 | 
301,1.181,1,LysoPC 18:2 [M+Ac-H]-;,578.345,578.3458,-1.3833,920,961,100,LysoPC 18:2 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 279.233 | 504.3096 | 
305,1.196,1,LysoPC 16:0 [M+Ac-H]-;,554.345,554.3458,-1.4431,596,597,100,LysoPC 16:0 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 255.233 | 480.3096 | 
308,1.206,1,LysoPC 16:1 [M+Ac-H]-;,552.33,552.3301,-0.1811,912,937,100,LysoPC 16:1 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 253.2173 | 478.2939 | 
313,1.225,1,LysoPC 15:0 [M+Ac-H]-;,540.329,540.3301,-2.0358,1,1000,100,LysoPC 15:0 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 241.2173 | 466.2939 | 
317,1.24,1,LysoPC 20:4 [M+Ac-H]-;,602.345,602.3458,-1.3281,961,998,100,LysoPC 20:4 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 303.233 | 528.3096 | 
318,1.243,1,LysoPC 20:3 [M+Ac-H]-;,604.361,604.3614,-0.6619,760,829,100,LysoPC 20:3 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 305.2486 | 530.3252 | 
322,1.259,1,LysoPE 18:2 [M-H]-;,476.277,476.2777,-1.4697,958,998,100,LysoPE 18:2 [M-H]-(100),true,true,LipiDex_HCD_Acetate.msp,78.9591 | 140.0118 | 196.038 | 214.0486 | 235.2431 | 279.233 | 
324,1.265,1,LysoPE 20:4 [M-H]-;,500.277,500.2777,-1.3992,984,996,100,LysoPE 20:4 [M-H]-(100),true,true,LipiDex_HCD_Acetate.msp,78.9591 | 140.0118 | 196.038 | 214.0486 | 259.2431 | 303.233 | 
327,1.277,1,LysoPE 22:6 [M-H]-;,524.277,524.2777,-1.3352,749,754,100,LysoPE 22:6 [M-H]-(100),true,true,LipiDex_HCD_Acetate.msp,78.9591 | 140.0118 | 196.038 | 214.0486 | 283.2431 | 327.233 | 
331,1.292,1,LysoPE 16:0 [M-H]-;,452.277,452.2777,-1.5477,997,997,100,LysoPE 16:0 [M-H]-(100),true,true,LipiDex_HCD_Acetate.msp,78.9591 | 140.0118 | 196.038 | 214.0486 | 255.233 | 
333,1.299,1,LysoPC 22:6 [M+Ac-H]-;,626.345,626.3458,-1.2772,4,1000,0,,true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 327.233 | 552.3096 | 
340,1.325,1,LysoPC 18:2 [M+Ac-H]-;,578.345,578.3458,-1.3833,806,806,100,LysoPC 18:2 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 279.233 | 504.3096 | 
345,1.346,1,LysoPC 16:0 [M+Ac-H]-;,554.345,554.3458,-1.4431,640,640,100,LysoPC 16:0 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 255.233 | 480.3096 | 
352,1.37,1,LysoPC 15:0 [M+Ac-H]-;,540.329,540.3301,-2.0358,13,919,100,LysoPC 15:0 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 241.2173 | 466.2939 | 
355,1.382,1,LysoPC 20:4 [M+Ac-H]-;,602.345,602.3458,-1.3281,855,856,100,LysoPC 20:4 [M+Ac-H]-(100),true,true,LipiDex_HCD_ULCFA.msp,59.0128 | 78.9579 | 152.9954 | 224.0696 | 242.0807 | 303.233 | 528.3067 | 
360,1.4,1,LysoPE 18:2 [M-H]-;,476.277,476.2777,-1.4697,962,998,100,LysoPE 18:2 [M-H]-(100),true,true,LipiDex_HCD_Acetate.msp,78.9591 | 140.0118 | 196.038 | 214.0486 | 235.2431 | 279.233 | 
361,1.404,1,LysoPE 20:4 [M-H]-;,500.277,500.2777,-1.3992,988,1000,100,LysoPE 20:4 [M-H]-(100),true,true,LipiDex_HCD_ULCFA.msp,152.9958 | 303.233 | 
371,1.443,1,LysoPE 16:0 [M-H]-;,452.277,452.2777,-1.5477,997,998,100,LysoPE 16:0 [M-H]-(100),true,true,LipiDex_HCD_Acetate.msp,78.9591 | 140.0118 | 196.038 | 214.0486 | 255.233 | 
372,1.446,1,LysoPC 22:5 [M+Ac-H]-;,628.361,628.3614,-0.6366,896,914,100,LysoPC 22:5 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 329.2486 | 554.3252 | 
376,1.462,1,LysoPC 18:2 [M+Ac-H]-;,578.345,578.3458,-1.3833,799,803,100,LysoPC 18:2 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 279.233 | 504.3096 | 
