Retention Time (min),Quant Ion,Polarity,Area (max),Identification,Lipid Class,Features Found,Filter Status,Plasma_PS.raw (F1),PDH_Blank_Neg.raw (F2),PDH_Blank_Pos_171003103943.raw (F3),Plasma_Neg_1.raw (F4),Plasma_Neg_2.raw (F5),Plasma_Neg_3.raw (F6),Plasma_Pos_1.raw (F7),Plasma_Pos_2.raw (F8),Plasma_Pos_3.raw (F9),
0.781,373.04391,-,56644.4443,,,2,,26381.32308,6186.998103,0.0,4443.521595,8869.291821,56644.4443,0.0,0.0,0.0,
0.787,429.18982,+,225365.2002,,,4,,225365.2002,0.0,52929.70403,0.0,0.0,0.0,67613.03362,63905.72727,62898.37871,
0.837,523.14679,-,13197.23422,,,2,,9432.88755,468.2041615,0.0,8079.347984,10475.72805,13197.23422,0.0,0.0,0.0,
0.865,469.16165,+,394428.0365,,,4,,394428.0365,0.0,113982.6943,0.0,0.0,0.0,251171.1668,294375.4742,268412.8537,
0.868,619.28735,-,28445.72107,LysoPI 20:4,LysoPI,2,,18574.86281,578.255859,0.0,19312.39795,28359.05583,28445.72107,0.0,0.0,0.0,
0.875,409.02625,-,19118.79473,,,3,,19118.79473,5844.454377,0.0,10056.83111,10025.07148,12835.62705,0.0,0.0,0.0,
0.877,595.28729,-,11213.0502,,,2,,7019.266626,416.9726003,0.0,9486.727678,10951.73482,11213.0502,0.0,0.0,0.0,
0.884,281.10983,+,829688.5413,,,5,,829688.5413,66072.44286,275.9271548,68377.0775,66172.79901,68883.26503,268.813797,308.3748926,270.3656826,
0.931,443.23203,+,14598.70314,,,3,,12560.83,0.0,4435.626058,0.0,0.0,0.0,14598.70314,13404.58784,13380.83717,
0.936,460.26791,+,1598590.976,,,5,,1598590.976,0.0,84997.9905,0.0,0.0,0.0,77730.16378,81849.90245,79834.30381,
0.937,473.26315,+,1.355432565E7,,,5,,1.355432565E7,0.0,1011712.456,0.0,0.0,0.0,656986.0028,648236.7102,628237.0597,
0.94,391.28711,-,19369.40239,,,4,,18190.51438,3991.995968,0.0,19218.43952,16740.78886,19369.40239,0.0,0.0,0.0,
0.943,867.36804,+,336011.9174,,,5,,336011.9174,0.0,73898.83538,0.0,0.0,0.0,133136.6292,149808.567,127256.4791,
0.945,415.21008,+,7715186.466,,,5,Adduct of existing peak,7715186.466,0.0,2419445.466,0.0,0.0,0.0,1810984.125,1688970.579,1801732.099,
