Checked,Ion,Charge,Molecular Weight,m/z,RT [min],FWHM [min],# MI,Area,Parent Area [%],Study File ID
FALSE,[M+H]+1,1,877.80821,878.81549,18.771,0.106,3,100799278.2,100,F1
FALSE,[M+H]+1,1,877.80864,878.81592,18.713,0.107,4,97982927.62,100,F7
FALSE,[M+H]+1,1,702.56603,703.5733,8.628,0.084,5,97347971.89,100,F9
FALSE,[M+H]+1,1,702.56645,703.57373,8.592,0.09,5,97283718.77,100,F7
FALSE,[M+H]+1,1,877.80828,878.81555,18.756,0.096,4,96703511.53,100,F9
FALSE,[M+H]+1,1,549.62065,550.62793,11.279,0.171,5,96316793.64,100,F3
FALSE,[M-H]-1,-1,817.58168,816.5744,8.97,0.092,6,94529383.43,100,F1
FALSE,[M+H]+1,1,702.56621,703.57349,8.621,0.093,5,94311494.78,100,F8
FALSE,[M+H]+1,1,606.38243,607.38971,9.542,0.122,4,94134736.07,100,F3
FALSE,[M-H]-1,-1,817.58204,816.57477,8.976,0.097,6,91804108.58,100,F5
FALSE,[M-H]-1,-1,817.58143,816.57416,8.991,0.096,6,91590348.89,100,F6
FALSE,[M-H]-1,-1,817.58192,816.57465,8.943,0.097,6,90084115.93,100,F4
FALSE,[M-H]-1,-1,845.61311,844.60583,9.885,0.102,6,87889885.79,100,F1
FALSE,[M-H]-1,-1,845.61305,844.60577,9.906,0.104,6,87543560.44,100,F6
FALSE,[M+H]+1,1,903.82359,904.83087,18.725,0.12,4,87030964.04,100,F8
FALSE,[M+H]+1,1,903.82323,904.83051,18.741,0.1,5,85820350.05,100,F1
FALSE,[M-H]-1,-1,845.61323,844.60596,9.852,0.107,6,85036840.96,100,F4
FALSE,[M-H]-1,-1,845.61329,844.60602,9.89,0.108,5,84715953.48,100,F5
FALSE,[M+H]+1,1,903.82366,904.83093,18.683,0.119,4,84459818.73,100,F7
FALSE,[M+H]+1,1,903.82347,904.83075,18.741,0.101,3,82073906.99,100,F9
FALSE,[M+H]+1,1,821.74651,822.75378,17.299,0.083,5,80949851.56,100,F1
FALSE,[M+H]+1,1,811.60796,812.61523,10.111,0.096,6,78904144.71,100,F1
FALSE,[M+H]+1,1,787.6079,788.61517,10.681,0.102,6,78320210.3,100,F1
FALSE,[M+H]+1,1,878.73143,879.73871,17.361,0.15,2,74743391.64,100,F8
FALSE,[M+H]+1,1,878.73088,879.73816,17.363,0.173,2,74682202.48,100,F9
FALSE,[M+H]+1,1,720.49785,721.50513,9.866,0.107,3,74243422.69,100,F3
FALSE,[M+H]+1,1,821.74645,822.75372,17.293,0.095,5,74221818.62,100,F9
FALSE,[M+H]+1,1,878.73143,879.73871,17.368,0.133,2,73509542.68,100,F1
FALSE,[M+H]+1,1,819.73027,820.73755,16.556,0.166,5,72627763.75,100,F1
FALSE,[M+H]+1,1,811.6079,812.61517,10.133,0.096,6,71846997.89,100,F9
FALSE,[M+H]+1,1,821.74614,822.75342,17.238,0.094,5,71807146.52,100,F7
FALSE,[M+H]+1,1,878.7318,879.73907,17.317,0.158,2,71228581.27,100,F7
FALSE,[M+H]+1,1,787.60771,788.61499,10.69,0.102,5,71088869.28,100,F8
FALSE,[M+H]+1,1,821.74657,822.75385,17.284,0.096,5,70653405.51,100,F8
FALSE,[M+H]+1,1,807.61455,808.62183,10.12,0.101,5,70569308.35,100,F8
FALSE,[M+H]+1,1,781.61498,782.62225,10.644,0.104,5,69770752.32,100,F7
FALSE,[M+H]+1,1,787.60796,788.61523,10.702,0.099,6,69602725.44,100,F9
