Retention Time (min),Quant Ion,Polarity,Area (max),Identification,Lipid Class,Features Found,Plasma_PS.raw (F1),PDH_Blank_Neg.raw (F2),PDH_Blank_Pos_171003103943.raw (F3),Plasma_Neg_1.raw (F4)+Plasma_Pos_1.raw (F7),Plasma_Neg_2.raw (F5)+Plasma_Pos_2.raw (F8),Plasma_Neg_3.raw (F6)+Plasma_Pos_3.raw (F9),
1.076,529.09296,-,22382.76275,,,3,6947.366007,5786.759747,0.0,15336.74083,22382.76275,16235.58345,
1.085,382.01825,-,48717.69576,,,2,7520.376666,15654.62506,0.0,36615.86435,48717.69576,36132.58886,
1.096,546.35443,+,351687.8191,LysoPC 20:3,LysoPC,5,227986.0585,0.0,15452.47543,287719.6756,316272.5843,351687.8191,
1.098,344.99753,-,39550.26838,,,2,12041.03977,5994.696655,0.0,39550.26838,33061.66965,14990.26362,
1.098,423.32108,+,23644.88055,,,4,18784.02206,0.0,5621.552836,23644.88055,22052.10861,22015.4281,
1.118,313.07776,-,37627.74516,,,2,37627.74516,597.3535113,0.0,718.3598816,5612.049221,32608.89213,
1.287,480.30801,-,2331648.51,LysoPC 15:0,LysoPC,4,1074731.593,56133.32443,4002.900064,2331648.51,2153233.274,969032.5237,
1.327,568.33838,+,95676.25317,LysoPC 22:6,LysoPC,2,95676.25317,0.0,5955.695489,81202.56272,75655.98114,79383.09693,
1.331,339.19861,-,149463.0729,,,3,66946.27413,45156.48035,0.0,148320.3449,149463.0729,142063.7757,
1.342,500.27676,-,123498.4099,LysoPE 20:4,LysoPE,7,123498.4099,586.0391956,710.8956848,55395.01385,70777.94765,77099.76163,
1.358,476.2756,-,229615.878,LysoPE 18:2,LysoPE,6,229615.878,1609.504925,1214.819474,96513.15415,117462.8252,135642.3851,
1.365,544.3382,+,994530.0684,LysoPC 20:4,LysoPC,6,994530.0684,0.0,15066.9638,724359.4168,792273.4051,844221.7911,
1.368,1073.67493,-,22989.75539,,,2,22989.75539,221.1607531,0.0,11633.50441,16357.47633,19134.01963,
1.371,736.33344,-,26316.32848,,,4,26316.32848,206.8286903,0.0,17948.00489,18909.6155,25260.75437,
1.388,618.30597,+,89480.14477,,,4,89480.14477,0.0,856.8859629,69462.38638,76903.31582,75361.28413,
1.397,520.33844,+,4625684.668,LysoPC 18:2,LysoPC,6,4625684.668,0.0,58542.00914,2967960.841,2989460.179,3408097.73,
1.401,496.3385,+,3.55566454E7,LysoPC 16:0,LysoPC,4,2.562162434E7,0.0,92158.98305,2.124232442E7,1.966451929E7,3.55566454E7,
1.462,901.5285,-,33932.88537,,,2,3392.53367,5591.71815,0.0,30747.29699,33932.88537,23308.836,
1.484,313.07776,-,32493.27612,,,2,32493.27612,293.156685,0.0,785.9432173,3000.175132,23117.71898,
1.509,525.40887,+,81475.05503,,,2,81475.05503,0.0,18610.1262,45708.25908,40861.663,18481.69847,
1.519,657.48853,+,26845.49207,,,2,24924.39516,0.0,6480.446266,15686.18361,26845.49207,19389.34197,
1.53,484.3833,+,771898.8632,,,5,771898.8632,0.0,242361.7196,359246.6985,322173.039,338989.0499,
1.54,555.284,-,39133.45683,,,3,16567.14975,7521.525434,0.0,31251.85379,37374.20826,39133.45683,
1.543,541.26892,-,17742.54441,,,3,6612.051354,589.6441998,0.0,17742.54441,16679.89765,14882.9065,
1.547,473.28085,-,3914324.373,,,8,2681520.371,992022.7041,346995.681,3649899.089,3780712.372,3914324.373,
1.567,502.29239,-,22825.43676,LysoPE 20:3,LysoPE,3,12858.72929,394.2296061,0.0,21872.83643,22825.43676,19310.06569,
1.569,599.31842,-,58145.66456,LysoPI 18:0,LysoPI,4,38170.52794,287.3966822,0.0,37966.1347,45967.15415,58145.66456,
