Retention Time (min),Quant Ion,Polarity,Area (max),Identification,Lipid Class,Features Found,Plasma_PS.raw (F1),PDH_Blank_Neg.raw (F2),PDH_Blank_Pos_171003103943.raw (F3),Plasma_Neg_1.raw (F4)+Plasma_Pos_1.raw (F7),Plasma_Neg_2.raw (F5)+Plasma_Pos_2.raw (F8),Plasma_Neg_3.raw (F6)+Plasma_Pos_3.raw (F9),
7.719,667.13928,-,250152.1637,,,3,250152.1637,3863.250849,2123.114115,5175.809705,5472.118923,123633.2531,
7.725,860.59961,-,807076.6618,PC[OH] OH-36:2,PC[OH],7,807076.6618,19654.5936,0.0,762501.1173,749131.5119,753952.5884,
7.726,707.50891,-,114423.6224,,,4,74851.53304,3771.535999,0.0,114423.6224,110609.7736,99327.89213,
7.734,957.51367,+,35621.31574,,,3,35621.31574,0.0,2140.668803,21817.7206,17715.62505,21992.03595,
7.743,775.48193,+,48753.44745,,,3,48753.44745,0.0,2097.295856,26200.38569,23315.85823,21615.90996,
7.744,846.55872,+,223907.7848,,,2,223907.7848,0.0,3136.513665,8439.601124,26695.73324,69726.06855,
7.744,727.10602,-,216658.2837,,,2,216658.2837,4431.46553,0.0,5937.078174,7141.821332,136873.6501,
7.746,719.56836,+,34693.93604,,,4,34693.93604,0.0,2939.618517,29632.5174,29037.98048,22981.95538,
7.751,817.15619,-,105042.716,,,2,105042.716,2695.985119,0.0,4185.62615,4645.148651,61843.94562,
7.758,992.73822,+,37634.81938,,,4,37634.81938,0.0,4903.390552,24554.29117,23985.37715,27635.67266,
7.78,997.52167,-,22439.84566,,,4,21838.60116,539.5348744,0.0,20965.84044,22439.84566,17307.487,
7.786,915.51984,-,67106.38414,,,4,65565.38779,1126.093527,0.0,67106.38414,62977.42338,61523.71321,
7.79,833.51733,-,1339592.202,PI 16:0_18:2,PI,5,1332610.547,24413.48038,2185.380155,1326570.219,1339592.202,1267118.766,
7.796,677.49811,-,21618.89224,,,3,8625.827269,1095.802992,0.0,21618.89224,21124.73435,17744.5332,
7.797,439.3779,-,47756.97421,,,4,42212.48361,3232.065544,0.0,45998.36642,47756.97421,37875.77371,
7.8,738.50623,-,48785.98416,,,2,9604.164866,998.9381252,0.0,39047.94767,48785.98416,10284.28442,
7.801,691.51379,-,141068.6611,,,4,90401.12582,1352.875478,0.0,116881.876,141068.6611,111343.5219,
7.803,431.03143,-,53707.10516,,,2,53707.10516,1216.555714,0.0,2374.844683,2838.643539,29957.43481,
7.805,577.23138,-,64417.03715,,,2,24963.74823,9827.24784,0.0,64417.03715,25559.64972,33709.6722,
7.81,1157.54663,-,16971.39341,,,2,16486.11191,489.1853571,0.0,16971.39341,15411.5119,12616.68086,
7.82,766.53723,+,164450.0453,PC 35:5,PC,2,164450.0453,0.0,5246.27379,83532.56969,111521.7178,81886.0736,
7.821,620.50024,+,16695.37904,,,3,16695.37904,0.0,2912.587969,13168.28926,13527.17464,12061.40324,
7.823,1163.56067,-,44910.87931,,,4,37552.51649,1356.190656,0.0,37975.0141,44910.87931,36333.17265,
7.826,830.56445,+,867898.9112,PC 40:8,PC,3,9206.88854,0.0,18080.23055,767849.3961,867898.9112,860241.5983,
7.827,1542.11389,-,19343.04987,,,2,19068.2484,280.0404974,0.0,17325.64417,19343.04987,18122.85376,
7.829,842.57013,-,194663.0579,,,2,194663.0579,3849.195682,0.0,181792.1806,177981.31,177368.5726,
7.83,1087.57434,-,27457.34418,,,4,26828.9743,610.9146687,0.0,23521.36085,27457.34418,26980.79593,
7.83,1075.53967,-,23251.72791,,,3,19724.74556,426.7049277,0.0,21115.96629,23251.72791,21250.36067,
7.831,759.56409,-,4782370.716,,,5,4782370.716,112457.5292,0.0,4566816.513,4544579.268,4541131.689,
7.831,685.52692,-,378366.8424,,,4,378366.8424,7356.06299,0.0,349838.061,348121.4715,353519.4635,
7.831,1005.57239,-,73701.0799,,,4,69405.69272,1101.22619,0.0,68924.91866,73701.0799,64716.23422,
7.831,1067.54333,-,28936.4368,,,4,24016.16352,1167.254782,0.0,28936.4368,28914.85104,28133.19795,
7.832,999.55536,-,155662.6015,,,4,155662.6015,3299.101324,0.0,153642.8326,149179.7685,142444.3829,
7.832,803.15833,-,31879.51832,,,2,31879.51832,363.3172862,0.0,1249.430396,1296.654487,28409.45723,
7.833,1081.55798,-,99889.12443,,,4,95921.29449,2082.752535,0.0,96473.58655,99889.12443,95668.85696,
7.834,917.55341,-,226629.1575,,,4,221183.8758,4736.758435,0.0,226629.1575,223327.8615,224635.3045,
7.834,991.5564,-,29014.5294,,,3,24399.23303,983.441075,0.0,29014.5294,25070.46183,23887.30731,
7.835,985.53973,-,19354.7711,,,3,16464.74127,460.1498066,0.0,19354.7711,18917.05693,17516.98762,
7.843,923.56952,-,152826.5461,,,2,152826.5461,4059.846066,0.0,148117.4691,144830.0005,144630.9859,
7.844,859.53192,-,1590765.069,PI 36:3,PI,5,1590765.069,23617.87869,12781.80263,928565.4908,1012688.903,969383.0507,
7.85,941.53253,-,72235.78885,,,3,72235.78885,1766.116639,0.0,65143.49396,71937.21963,51585.9494,
7.854,798.56403,+,168425.6341,PC[OH] OH-36:4,PC[OH],3,168425.6341,0.0,3142.179762,121757.8805,133900.8895,119084.182,
7.861,371.06464,-,65266.30523,,,2,65266.30523,565.1277415,0.0,1943.446691,2016.902167,39157.22101,
7.863,613.51831,+,47545.11809,,,4,45583.36819,0.0,2353.546969,47545.11809,44333.95028,46756.65796,
7.867,657.50482,+,44599.00095,,,3,44599.00095,0.0,3176.857245,29972.05081,29097.07012,30506.21731,
7.873,461.11472,-,1997462.892,,,4,1997462.892,29960.46076,0.0,3307.598799,171130.2865,1141698.193,
7.874,704.52197,+,330918.534,PC 30:1,PC,3,330918.534,0.0,24854.5769,282999.5761,242138.5691,270531.2654,
7.876,533.15393,-,1668895.968,,,4,1668895.968,25277.98039,0.0,2644.879264,146240.5885,854381.6685,
7.89,858.59027,-,244438.2939,PC[OH] OH-36:3,PC[OH],3,244438.2939,4919.902022,0.0,90121.91937,90634.05122,107915.3209,
7.892,796.54681,+,35785.39742,,,3,2633.672064,0.0,2124.341154,32114.66964,32364.13827,35785.39742,
7.893,776.51953,+,108800.498,PC 36:7,PC,3,108800.498,0.0,3382.558659,71610.08334,74381.53669,69227.53114,
7.894,657.49695,-,17600.43061,,,3,13096.84313,386.452115,0.0,17600.43061,17080.63541,17295.90805,
7.896,842.59039,+,809745.3732,,,4,809745.3732,0.0,7044.714293,534012.7227,511004.5012,529231.5042,
7.9,772.54773,+,65234.54983,PC[OH] OH-34:3,PC[OH],3,65234.54983,0.0,5337.25821,58688.97097,54150.33442,53481.84656,
7.901,727.57477,+,782981.5478,SM d36:3,SM,3,782981.5478,0.0,26786.78061,632678.6086,618993.0572,605978.3479,
7.901,982.59839,-,33920.53401,,,4,33920.53401,352.0992528,0.0,29891.21302,22535.893,23345.57482,
7.904,803.66223,+,34344.73137,,,3,34344.73137,0.0,5964.440546,28671.0239,29522.68751,27601.49582,
7.905,828.60968,+,1121729.427,,,2,1109384.271,0.0,10754.38872,1121729.427,953686.9242,894851.6586,
7.907,798.52704,-,29283.67188,,,2,29283.67188,365.3905751,0.0,24466.42345,13231.01611,8909.247716,
7.923,594.48517,+,96236.38881,,,4,96236.38881,0.0,24475.35885,80399.18884,77671.74248,79730.90515,
7.925,869.52612,+,27586.44644,,,3,5704.511586,0.0,2204.194517,27586.44644,25455.14172,21224.77765,
7.926,595.10028,-,749698.7562,,,3,749698.7562,11001.18566,0.0,737.4949828,52018.01926,494732.9376,
7.927,505.04984,-,167816.8581,,,2,167816.8581,1895.764187,0.0,746.8571414,13138.67009,106648.5449,
7.933,689.55829,+,3917134.105,SM d33:1,SM,2,46052.43236,0.0,113172.8934,3917134.105,3853073.317,3858243.751,
7.934,834.52008,+,132199.428,,,2,132199.428,0.0,1798.74319,20489.22589,20496.17832,16362.5354,
7.934,431.35123,+,58163.29751,,,3,58163.29751,0.0,4074.690834,48255.23993,42373.11243,41793.71181,
7.935,826.59497,+,1005221.831,PC[OH] OH-38:4,PC[OH],7,1005221.831,0.0,7400.659141,878521.3781,860416.1139,904848.5825,
7.935,787.52618,+,106952.5647,,,3,12633.63085,0.0,13636.40653,92976.88613,106952.5647,104492.2083,
7.937,730.53699,+,3599874.689,PC 32:2,PC,2,52981.57389,0.0,116039.3805,3599874.689,3542207.262,3536869.889,
7.938,721.5849,+,211970.2843,,,2,956.6328187,0.0,16734.9149,211970.2843,206234.6299,209573.0245,
7.945,774.56293,+,499127.7966,PC[OH] OH-34:2,PC[OH],4,499127.7966,0.0,14449.5336,450517.8835,451513.9134,438787.1161,
7.945,429.37137,+,133458.5744,,,3,19408.51012,0.0,2905.268533,130434.0494,133458.5744,129929.2853,
7.952,792.55249,+,303477.3608,PC 37:6,PC,3,18214.83441,0.0,7420.508583,263782.7107,287877.2612,303477.3608,
7.955,856.58435,+,153497.5953,PC 42:9,PC,3,153497.5953,0.0,5015.174757,130161.1438,133813.7703,124557.8961,
7.963,911.55756,+,81624.30987,,,3,23715.62658,0.0,3911.106958,80529.07453,81624.30987,60828.67342,
7.965,651.53339,+,127757.5469,,,4,65493.01551,0.0,4605.298703,123535.1616,127757.5469,125205.0469,
7.97,856.56897,-,45641.75381,PC[OH] OH-36:4,PC[OH],4,45641.75381,565.7503193,0.0,42975.16219,42526.37286,42386.5758,
7.971,589.51807,+,29303.05664,,,4,27449.22042,0.0,2271.773269,29303.05664,29014.54536,29294.41908,
7.983,716.22894,+,339106.8298,,,2,339106.8298,0.0,2259.982492,8004.842925,10950.08966,63926.40304,
7.987,429.08795,+,244712.5347,,,3,244712.5347,0.0,22450.02944,2658.419273,21594.61232,176509.2946,
7.993,747.60077,+,32541.2081,,,3,11589.01004,0.0,3062.680109,32541.2081,30862.99589,30550.80239,
7.994,445.11929,+,568055.2947,,,2,568055.2947,0.0,2987.315445,2531.133595,11386.15085,98193.32148,
7.994,533.41913,+,29474.30117,,,3,914.6397027,0.0,8006.553928,25840.13335,25518.45966,29474.30117,
7.998,735.56494,-,95441.82569,,,4,92955.28342,1759.248819,0.0,89702.54016,92743.38984,95441.82569,
7.999,928.47253,+,21822.27821,,,2,1020.177185,0.0,2515.487148,15606.20919,15783.56957,21822.27821,
8.002,673.49976,+,51130.39247,,,3,13795.67371,0.0,3093.546438,44954.14994,51130.39247,47773.03772,
8.007,812.54352,-,296056.7203,PC 14:0_20:4,PC,4,292053.5742,6928.828153,0.0,285590.0954,281651.06,296056.7203,
8.008,871.53357,-,99955.03199,PI 17:0_20:4,PI,5,89676.18499,1550.513378,1577.190358,99955.03199,92535.80019,94839.11978,
8.008,894.54596,-,30077.7497,,,3,30077.7497,599.3166405,0.0,28176.04208,28833.50476,29303.35459,
8.01,828.54834,+,683809.6129,PC 40:9,PC,3,4030.850092,0.0,63579.12885,660285.2197,683809.6129,676635.1597,
8.011,806.56757,+,9512611.881,PC 38:6,PC,3,126405.4095,0.0,193675.3897,8316443.721,9512611.881,9397993.171,
8.011,904.53552,+,95523.30391,,,3,1113.380129,0.0,2634.045278,84139.8456,95523.30391,87603.6931,
8.012,986.54047,+,34503.51872,,,3,34503.51872,0.0,3009.068745,29572.11506,32673.98172,28262.01306,
8.015,800.57892,+,9509556.825,,,3,285203.4823,0.0,189183.7264,9509556.825,68956.93879,74351.95206,
8.02,591.49658,+,26957.72516,,,2,7750.15464,0.0,4330.86316,22277.04692,26957.72516,23111.60682,
8.021,818.56427,+,27545.43666,,,3,1415.180266,0.0,3162.8185,27062.96112,26746.58648,27545.43666,
8.024,785.58057,-,240248.8425,,,4,240248.8425,3776.0767,0.0,228370.7902,234480.0321,239705.6515,
8.029,888.57465,-,242511.8229,PC 20:4_20:4,PC,4,227089.8766,4636.757024,0.0,232731.409,240295.1528,242511.8229,
8.039,652.49109,-,20792.32701,,,4,20679.93747,272.1928182,0.0,20699.93114,20455.5127,20792.32701,
8.04,878.28033,+,490825.0234,,,3,872.6127145,0.0,26237.50783,1953.485766,69596.82378,490825.0234,
8.04,1179.73401,-,139694.7859,,,6,139694.7859,769.7381106,1684.117235,84720.20806,85972.1606,86835.4362,
8.043,908.60095,-,29829.29821,,,3,27818.41268,301.4356577,0.0,26434.15103,25619.53609,29829.29821,
8.047,780.552,+,1.205902295E7,PC 36:5,PC,3,1968327.379,0.0,349687.8221,1.109894271E7,1.205902295E7,1.16060816E7,
8.048,878.51953,+,118215.6129,,,3,24583.34308,0.0,2317.222915,118215.6129,115675.6539,113250.4115,
8.048,928.58881,+,73251.39653,,,3,73251.39653,0.0,1590.928582,39910.89649,40246.47491,38967.89591,
8.05,834.521,+,25799.00763,,,2,25799.00763,0.0,1943.993335,20489.22589,20496.17832,16362.5354,
8.051,689.55792,+,5058048.951,SM d33:1,SM,3,5058048.951,0.0,113172.8934,3917134.105,3853073.317,3858243.751,
8.051,960.52246,+,42309.99358,,,2,6238.286803,0.0,2091.981129,38611.72495,42309.99358,39775.96632,
8.054,730.53674,+,4550027.426,PC 32:2,PC,2,4550027.426,0.0,122513.6266,3599874.689,3542207.262,3536869.889,
8.055,721.58423,+,256867.6627,,,2,256867.6627,0.0,49448.20733,211970.2843,206234.6299,209573.0245,
8.082,655.06647,-,290901.2927,,,3,290901.2927,3161.999836,0.0,2278.127268,31833.02399,192994.8922,
8.082,565.01593,-,46149.82778,,,2,39777.75997,426.1321043,0.0,1889.011188,3693.298695,46149.82778,
8.082,877.17755,-,34207.53165,,,2,34207.53165,258.2095538,0.0,1051.280773,2053.589343,19726.29009,
8.085,617.5127,+,139852.7508,,,2,44224.9676,0.0,5524.685322,139852.7508,131777.0414,132955.5899,
8.088,693.57593,+,65654.80621,,,3,25748.69706,0.0,14803.46296,65654.80621,60675.44475,51093.87972,
8.094,982.59802,-,19768.66492,,,3,18555.97348,338.2717285,0.0,19768.66492,18632.28881,16314.71912,
8.097,727.10626,-,258108.5133,,,2,221880.6257,3467.926746,0.0,2054.707647,38045.67818,258108.5133,
8.099,829.56848,-,274327.9665,,,2,245208.5728,6084.629007,0.0,247519.8925,252886.7406,274327.9665,
8.099,900.59534,-,192287.9122,,,4,183314.9069,1000.629753,0.0,177118.9467,184571.54,192287.9122,
8.104,727.20752,+,225455.8946,,,2,225455.8946,0.0,2254.223042,2749.453586,2543.693979,27966.33218,
8.106,838.60498,+,738944.8069,PC[OH] OH-39:5,PC[OH],4,738944.8069,0.0,3384.745043,634552.8942,549330.2337,442167.541,
8.12,551.50201,+,43583.91616,,,4,43145.30687,0.0,3227.514154,43583.91616,39485.5796,41157.40283,
8.12,457.32486,-,22695.14011,,,2,9070.4447,5568.908283,0.0,22472.65905,22695.14011,21029.11918,
8.122,479.37274,-,21110.317,,,2,10643.81163,4343.231964,0.0,21110.317,18816.78632,16554.21812,
8.123,719.56854,+,364359.2725,,,3,3202.117243,0.0,16497.81162,361346.7039,334678.252,364359.2725,
8.123,503.10626,+,89659.99326,,,2,89659.99326,0.0,4054.351234,4759.14828,4807.110887,39307.7844,
8.125,855.57495,+,153286.5612,,,3,153286.5612,0.0,3083.118986,77063.85765,78329.72145,74557.36879,
8.127,847.53259,-,62810.07447,PI 35:2,PI,4,57068.04359,600.5766686,0.0,62810.07447,57224.20233,62779.66794,
8.128,686.18115,+,2004231.841,,,4,2004231.841,0.0,28136.01088,3025.896641,44945.98025,12276.55174,
8.13,1069.55762,-,31182.62032,,,3,27795.72744,642.8810646,0.0,30270.51907,30098.63834,31182.62032,
8.135,859.5293,+,137151.1192,,,3,107678.9709,0.0,3313.925112,111109.4626,122352.8799,137151.1192,
8.14,673.52734,-,115733.6519,,,4,107611.5537,2091.812946,0.0,115733.6519,113362.9223,114678.9059,
8.141,577.51764,+,753881.6207,,,3,537779.6858,0.0,30686.12026,753881.6207,731531.6115,735904.4367,
8.142,870.54565,-,97934.37603,,,4,76392.49695,2206.879169,0.0,83034.00038,92499.82254,97934.37603,
8.144,788.54285,-,1080919.156,PC 32:2,PC,5,849801.7373,24357.8851,0.0,849409.8836,952774.2096,1080919.156,
8.145,764.52148,+,118630.6199,PC 35:6,PC,3,4359.586566,0.0,3736.334787,111794.013,118630.6199,109958.1839,
8.151,904.58801,+,1270126.079,,,4,182697.5203,0.0,46762.33465,469942.3701,1270126.079,1231120.567,
8.151,715.57355,+,431130.4273,SM d35:2,SM,3,431130.4273,0.0,4032.991001,343180.8785,338460.461,338975.1213,
8.154,826.59418,+,1050977.186,PC[OH] OH-38:4,PC[OH],4,1050977.186,0.0,7400.659141,297570.2337,301646.1868,315879.1607,
8.156,1044.53894,+,25478.7118,,,2,4989.919226,0.0,4474.671002,22103.78229,25478.7118,16095.53777,
8.16,853.45074,-,54273.1522,,,4,28345.76316,9161.205177,0.0,54273.1522,42667.82799,45982.85319,
8.161,626.21399,+,9778516.714,,,2,9778516.714,0.0,27108.87936,11395.04054,164905.2937,1124563.507,
8.161,754.56293,+,3685308.667,,,2,1476398.265,0.0,306153.4014,3685308.667,3649746.008,3555403.184,
8.161,854.03589,+,22221.83321,,,2,5977.46928,0.0,2500.58873,16848.52064,22221.83321,21155.79325,
8.162,1007.51093,+,124920.6041,,,2,110470.9737,0.0,6156.40333,81625.56405,124920.6041,91711.25261,
8.162,962.53735,+,81660.67658,,,3,5035.395551,0.0,4242.229782,81660.67658,69086.52023,60021.49941,
8.164,502.32788,+,32667.22647,,,3,3798.588212,0.0,3255.537438,32331.79704,31471.31132,32667.22647,
8.165,840.62024,+,2094325.414,PC[OH] OH-39:4,PC[OH],3,162211.5324,0.0,2759.37183,2094325.414,2054419.948,2093355.63,
8.166,782.56787,+,2.69961771E7,PC 36:4,PC,3,11921.39159,0.0,414185.5449,2.69961771E7,2.644316801E7,2.541122949E7,
8.166,814.60461,+,422561.8141,PC[OH] OH-37:3,PC[OH],3,347540.4048,0.0,2903.328952,422561.8141,417044.0618,369581.391,
8.166,429.37149,+,215225.0771,,,2,215225.0771,0.0,3854.261141,22186.73076,22742.67273,22684.05133,
8.167,683.50861,-,69078.57768,,,4,32820.38159,475.7212499,0.0,59315.25056,69078.57768,47399.73804,
8.168,1225.73767,-,236400.7997,,,4,218302.9749,4221.412441,0.0,223331.4426,221929.0213,236400.7997,
8.169,627.5332,+,5254260.339,Alkenyl-DG P-18:0_20:5,Alkenyl-DG,3,4233298.717,0.0,200604.9426,5029823.185,4991505.869,5254260.339,
8.169,668.54608,+,65675.83453,,,2,65675.83453,0.0,3629.961806,19360.68391,14899.03046,22223.38136,
8.171,756.55267,+,9951843.117,PC 34:3,PC,4,3614642.023,0.0,282713.715,9951843.117,9909509.975,9689637.633,
8.172,743.13721,-,468790.9842,,,3,468790.9842,6340.81134,0.0,2359.087746,41620.62619,324720.1481,
8.174,583.3241,+,18108.7428,,,2,9558.69561,0.0,2831.979556,18108.7428,14849.92594,15358.92435,
8.178,1025.43445,+,23667.72252,,,3,3834.298822,0.0,3046.923928,17498.68993,15333.3085,23667.72252,
8.179,653.54913,+,145689.1218,,,3,98740.06353,0.0,3349.305656,145689.1218,135899.9723,140925.5597,
8.183,768.5528,+,1033966.992,PC 35:4,PC,3,73732.30249,0.0,2735.408944,1033966.992,1032984.371,1011075.916,
8.183,850.55908,-,170531.3705,PC 15:0_22:6,PC,4,158689.7903,3105.852706,0.0,170531.3705,161757.7198,155416.437,
8.187,891.27533,+,1.531465072E7,,,4,1.531465072E7,0.0,512837.8064,106080.5281,904621.536,4244533.421,
8.196,1024.6748,+,228395.941,,,3,15628.04251,0.0,3349.596753,228136.5025,228395.941,223217.5151,
8.198,540.49701,+,43448.907,,,2,3395.200548,0.0,2952.568249,43236.87154,43448.907,40059.70532,
8.202,1186.57141,-,25584.43444,,,2,23308.63413,428.6537704,0.0,24975.45268,25584.43444,24183.25078,
8.203,932.56097,-,33375.21499,,,4,30248.19038,516.3952243,0.0,31884.31095,31161.65149,33375.21499,
8.208,850.24927,+,1.925129091E7,,,4,1.925129091E7,0.0,10651.77972,51946.0765,500244.5902,2996864.507,
8.209,739.41565,+,45558.65542,,,3,45558.65542,0.0,3728.013451,36299.36735,32656.69884,30535.80356,
8.21,695.50885,-,47779.22028,,,3,10401.19272,428.093407,0.0,47779.22028,40382.50138,24019.0206,
8.213,1028.58008,-,62058.45402,,,3,53486.75258,939.2486974,0.0,52255.18988,62058.45402,56172.16128,
8.213,824.57806,+,30042.12972,,,3,23423.15219,0.0,3171.737286,25418.90915,29787.63178,30042.12972,
8.214,1022.56189,-,86715.99413,,,3,76949.40196,987.4785731,0.0,83043.58612,78047.3589,86715.99413,
8.214,1104.56531,-,55535.30816,,,3,55535.30816,961.0377001,0.0,48976.76047,48067.45497,52185.03706,
8.216,864.57379,-,2495821.281,PC 18:2_20:4,PC,5,2495821.281,55147.79318,0.0,2485668.884,2455602.802,2489833.286,
8.217,946.57623,-,245380.0464,,,4,235825.6557,5479.506531,0.0,240747.6987,245380.0464,236548.9936,
8.226,885.54785,-,6948320.031,PI 18:0_20:4,PI,8,6948320.031,158413.3679,75003.10804,5732302.035,5697906.02,5514636.84,
8.233,782.5329,-,80090.98035,,,2,35038.66594,610.2980342,0.0,80090.98035,55702.62859,41192.48576,
8.236,313.07739,-,222758.0379,,,4,222758.0379,3507.725464,0.0,4027.840726,22837.00293,191325.6374,
8.242,297.04599,-,628165.0217,,,3,628165.0217,11406.15448,0.0,13056.3775,83972.43904,409270.4575,
8.243,1084.56958,-,31975.18379,,,2,27812.03709,978.4068131,0.0,27390.57942,31975.18379,24484.5093,
8.245,667.51337,-,47983.26792,,,3,21456.04302,547.6327721,0.0,47983.26792,42487.89224,20661.81633,
8.245,816.54736,+,23613.79029,,,2,4557.134847,0.0,6913.520112,23613.79029,20602.06089,20736.23011,
8.248,877.21344,-,1303261.812,,,5,1303261.812,20904.17895,0.0,49892.36312,240252.589,1174352.861,
8.252,838.55859,-,2964891.098,PC 16:0_20:5,PC,5,2956602.508,70174.8714,0.0,2964891.098,2926720.179,2890228.318,
8.252,824.54309,-,119026.2022,,,4,88595.75303,2305.439967,0.0,119026.2022,104932.3163,94608.89245,
8.252,1078.54993,-,68899.68868,,,4,66661.55224,1555.400717,0.0,68899.68868,66247.88301,60318.93115,
8.253,996.54657,-,112986.0404,,,4,99966.04295,2506.936836,0.0,107728.4392,112986.0404,109175.7731,
8.253,691.5752,+,45043.3137,,,3,3641.445824,0.0,3070.492516,44765.52102,45043.3137,43620.26721,
8.255,1160.55176,-,40034.00722,,,4,40034.00722,897.7642919,0.0,38473.72565,37940.71827,39274.06547,
8.26,667.13928,-,352432.8787,,,3,352432.8787,2060.52073,0.0,2248.376644,22224.33943,217819.542,
8.262,920.56116,-,596800.5272,,,3,276857.8683,8484.042835,0.0,596800.5272,331699.1146,284245.1542,
8.263,505.04984,-,138609.8218,,,2,138609.8218,820.8723786,0.0,3024.263037,6662.164583,94785.52738,
8.27,809.51752,-,69582.94912,PI 16:0_16:0,PI,4,54953.75549,1040.276975,0.0,69582.94912,63311.11166,59449.62378,
8.272,931.52551,+,346130.056,,,3,346130.056,0.0,18575.25055,116032.6285,147734.1096,173779.257,
8.277,627.53333,+,5307619.555,Alkenyl-DG P-18:0_20:5,Alkenyl-DG,2,5307619.555,0.0,200604.9426,5029823.185,4991505.869,5254260.339,
8.283,743.19202,-,84290.30451,,,2,84290.30451,826.9416256,0.0,2896.341474,2217.061381,48599.52415,
8.288,908.61835,+,89963.11759,,,3,2865.858812,0.0,3001.234976,67070.81935,79764.21088,89963.11759,
8.289,603.5332,+,1986365.986,,,3,1580327.329,0.0,94269.4065,1964486.901,1876428.936,1986365.986,
8.296,679.5141,-,37332.43007,,,3,12227.54766,648.7280516,0.0,37332.43007,33257.26447,21179.89042,
8.299,732.56171,-,62242.98363,,,3,45106.9691,425.3945956,0.0,61240.60174,62242.98363,53514.85879,
8.303,904.58862,+,2361679.994,,,2,2361679.994,0.0,46762.33465,1310738.41,1270126.079,1231120.567,
8.314,828.54834,+,3300897.984,PC 40:9,PC,4,970040.8357,0.0,133007.4622,3269770.235,3300897.984,3145072.106,
8.314,904.53497,+,417252.9398,,,4,71029.97421,0.0,9628.290226,352762.613,417252.9398,393579.5744,
8.315,693.52948,-,242868.4304,,,4,166319.5057,3885.349611,0.0,186117.7552,242868.4304,195393.1168,
8.315,563.07294,+,29627.52738,,,2,29627.52738,0.0,2328.720375,6546.976208,5986.387668,23658.7723,
8.318,478.32782,+,58613.1278,,,3,4975.831566,0.0,1843.4328,57524.04577,56859.67501,58613.1278,
8.324,806.56787,+,6.005238897E7,PC 38:6,PC,4,1.210412538E7,0.0,1244548.372,6.005238897E7,5.899553886E7,5.954264408E7,
8.327,814.55884,-,5563196.033,PC 34:3,PC,5,3492803.327,61468.27089,0.0,4914288.993,5563196.033,4029931.507,
8.327,727.10602,-,723478.6564,,,3,723478.6564,9568.065063,0.0,4630.102664,54183.9668,504324.8212,
8.327,777.57428,-,143326.6949,,,4,132827.8697,2760.819673,0.0,143326.6949,142608.3938,140754.4967,
8.328,565.01642,-,71527.71769,,,2,71527.71769,773.7118727,0.0,4954.550755,5332.877512,39057.29154,
8.329,655.06647,-,290402.2125,,,2,290402.2125,2368.479367,0.0,4151.398614,16955.12438,155487.8194,
8.331,864.61981,+,7156350.625,PC[OH] OH-41:6,PC[OH],3,520002.7797,0.0,20109.54967,7156350.625,6617095.626,6712822.098,
8.331,817.15619,-,720746.3696,,,2,720746.3696,8591.272473,2073.399593,6866.337086,6754.776048,7441.14186,
8.334,744.55219,+,3555209.974,PC 33:2,PC,3,14044.011,0.0,45610.76601,3555209.974,3319519.214,3404958.699,
8.336,917.53412,-,68344.93997,,,4,68344.93997,1600.032919,0.0,66834.2814,45310.46625,63810.96873,
8.339,802.6062,+,250097.1573,PC[OH] OH-36:2,PC[OH],3,10542.23021,0.0,1841.137475,250097.1573,212356.8628,234155.6228,
8.339,381.37244,-,133244.3775,,,3,100972.0181,38490.88985,0.0,133244.3775,127333.4909,98375.16447,
8.345,835.53253,-,1365773.245,PI 34:1,PI,5,1365773.245,28841.68374,2056.654607,1202672.988,1250899.588,1294818.5,
8.354,862.62354,+,7911092.966,,,3,7911092.966,0.0,35086.40719,5732701.388,766883.2497,790679.2288,
8.354,861.54785,-,3035575.315,PI 36:2,PI,5,3035575.315,50231.04891,14889.23498,2178569.015,1968474.463,2666079.172,
8.354,794.56458,+,426224.5237,PC 37:5,PC,3,426224.5237,0.0,33217.43681,349044.0292,263555.2403,278179.9208,
8.363,1131.55286,-,75787.31444,,,3,75787.31444,3401.662844,0.0,69486.88501,43337.01422,72448.3627,
8.366,922.57623,-,654804.6592,,,5,622950.9962,21859.82526,0.0,605257.6842,648768.3785,654804.6592,
8.366,1125.53723,-,129418.0249,,,3,116139.2358,4099.932169,0.0,107002.3874,79867.56648,129418.0249,
8.369,990.56195,-,55365.72944,,,5,40677.24163,1783.67709,0.0,55365.72944,54595.32221,51230.70598,
8.37,1162.56665,-,80787.87744,,,3,67899.1892,2966.984885,0.0,69585.86849,70923.46241,80787.87744,
8.371,885.54755,-,1.422897575E7,PI 18:0_20:4,PI,5,1.422897575E7,300008.5282,3622.758682,1.259099391E7,1.273146438E7,1.2067891E7,
8.371,967.55011,-,641759.8734,,,5,619526.7881,26672.01535,0.0,641759.8734,629653.1248,624967.1071,
8.371,998.56201,-,267060.5368,,,4,233102.5678,6295.009689,0.0,267060.5368,236396.9199,243695.9155,
8.371,1049.55115,-,191487.0471,,,4,191487.0471,8523.415276,0.0,165976.7868,173008.3154,191408.1625,
8.371,908.56073,-,93088.29091,,,4,80319.46263,3210.120449,0.0,93088.29091,83178.79165,77619.6047,
8.372,840.57446,-,6583631.113,PC 18:2_18:2,PC,5,6266194.277,148777.4048,0.0,6492788.946,6583631.113,6536728.835,
