Retention Time (min),Quant Ion,Polarity,Area (max),Identification,Lipid Class,Features Found,Hap1_Blank.raw,Hap1_Neg_3.raw,Hap1_Neg_1.raw,Hap1_Neg_2.raw,
0.5392731,454.10858154296875,-,7.385153398516744E7,,,4,0.0,5.1903180495331936E7,7.385153398516744E7,5.490668209889849E7,
0.5428224033333333,353.0466003417969,-,1.4043213115777E8,,,4,0.0,1.299198909744274E8,1.4043213115777E8,1.3745564078434047E8,
0.5463800499999999,368.0328674316406,-,1805786.5523339615,,,4,0.0,1393070.580542822,281911.8812079825,1805786.5523339615,
0.55095536,309.1239318847656,+,2.6839060869496349E8,,,4,0.0,2.0249059058326107E8,2.6839060869496349E8,2.5500613738577783E8,
0.55095536,273.088623046875,+,8349882.0771068055,,,4,0.0,6431443.7090536505,7478188.237597253,8349882.0771068055,
0.55095536,263.1188049316406,+,9122940.035280328,,,4,0.0,7411708.167361347,9122940.035280328,8780683.723260585,
0.5553743725,337.102294921875,+,1.7266295765445724E7,,,4,176906.00561453885,1.275546189525898E7,1.7266295765445724E7,1.594851385895269E7,
0.5585702,311.1250305175781,+,1.172910606789518E7,,,4,13469.761640342875,8427188.881275073,1.172910606789518E7,1.0981233687713701E7,
0.5646707225,335.1029052734375,+,4.1779004602701443E8,,,4,40556.325644669196,3.162797418941283E8,4.1779004602701443E8,4.008241121311078E8,
0.5653963433333333,756.3872680664062,+,9007667.320718724,,,4,0.0,6521531.598735118,8601914.868842693,9007667.320718724,
0.5677383966666666,558.2794189453125,-,4.530660454097279E7,,,4,0.0,4.330322430834652E7,3.552942397201046E7,4.530660454097279E7,
0.5677383966666666,422.22657775878906,-,2923807.4896380384,,,4,0.0,2446845.4771543695,2367088.019321271,2923807.4896380384,
0.56796165,265.14801025390625,-,1.9296823481641214E7,,,4,1.9296823481641214E7,8492984.251706833,8564594.836495072,1.0294199785827516E7,
0.56796165,325.181884765625,-,3.893808646093277E7,,,4,1.0727278083328228E7,3.676646557154959E7,3.417656947604509E7,3.893808646093277E7,
0.56796165,311.1663818359375,-,4.7094285083955E7,,,4,8147972.241781373,4.4295465412882954E7,4.252675743740416E7,4.7094285083955E7,
0.56796165,339.1972961425781,-,1.4565709106609507E7,,,4,6217409.650732796,1.4370862620860465E7,1.3005609992994912E7,1.4565709106609507E7,
