Retention Time (min),Quant Ion,Polarity,Area (max),Identification,Lipid Class,Features Found,Filter Status,Hap1_Blank.raw,Hap1_Neg_3.raw,Hap1_Neg_1.raw,Hap1_Neg_2.raw,
0.9679843566666667,774.4902038574219,+,2.3277601188714543E8,,,4,Adduct of existing peak,0.0,1.6196339417064843E8,2.2131499679312998E8,2.3277601188714543E8,
0.9679843566666667,790.4714965820312,+,3.700607114373423E7,,,4,Adduct of existing peak,0.0,2.6768398458892096E7,3.477966971165864E7,3.700607114373423E7,
0.9743864566666667,463.3606719970703,+,2.0700375178789887E8,,,4,,0.0,1.8809692599901184E8,2.0700375178789887E8,1.1279724702914232E8,
0.9795728966666667,686.4159545898438,-,1.8237614749061592E7,,,4,,0.0,1.2263843310709326E7,1.8237614749061592E7,1.3615219191529362E7,
0.9906172849999999,421.1520233154297,-,1.4403807162675895E7,,,4,,76210.52452480477,8220589.392124898,1.4403807162675895E7,8778098.960947443,
0.993067065,414.2123107910156,+,1.6873339819871756E8,,,4,Adduct of existing peak,603.6798584258361,1.1576172723967142E8,1.5169759184529197E8,1.6873339819871756E8,
0.9935121666666666,487.8996887207031,+,5234390.615703555,,,4,,0.0,4237994.027983942,5234390.615703555,4172102.35961852,
0.9951601066666665,385.2705078125,+,2.5618096379034754E7,,,4,,0.0,2.5618096379034754E7,1.4309735018877989E7,1.4764243367692385E7,
0.9958152333333334,555.269287109375,-,3.638375072309649E7,LysoPG 22:6,LysoPG,4,,0.0,3.2901487559174154E7,3.638375072309649E7,3.471639299377124E7,
0.997776435,445.24183654785156,+,3.605795019133287E7,,,4,,75616.53851103215,3.05301467435325E7,3.605795019133287E7,2.7754134824774656E7,
