Retention Time (min),Quant Ion,Polarity,Area (max),Identification,Lipid Class,Features Found,Liver_PS.raw (F1),JAS_Blank_Neg.raw (F2),JAS_Blank_Pos.raw (F3),Liver_Neg_1.raw (F4),Liver_Neg_2.raw (F5),Liver_Neg_3.raw (F6),
0.622,517.31647,-,35036.86758,,,3,32081.17851,252.7531552,0.0,35036.86758,32520.79681,31244.10504,
0.625,411.17981,+,33956.92531,,,3,21512.38175,0.0,897.124183,15670.5872,33956.92531,27332.02046,
0.636,242.17535,-,108756.8582,,,4,90654.84095,30468.20931,0.0,105203.5629,108756.8582,93196.35582,
0.636,583.3252,-,12531.48877,,,3,12380.73507,381.2490595,0.0,12531.48877,11337.51458,12186.65156,
0.652,509.27298,+,15957.31648,,,2,15957.31648,0.0,145.2970674,10898.33047,15401.68615,13412.85936,
0.669,421.18271,+,59076.57654,,,4,59076.57654,0.0,600.2414885,39698.78122,42108.92607,40468.83579,
0.669,421.2179,+,19116.01006,,,2,19116.01006,0.0,252.5144542,12288.45994,13678.37198,14519.16302,
0.67,253.14395,-,49679.17372,,,3,36198.67537,485.8518113,0.0,49679.17372,44501.25096,45631.08032,
0.671,377.15622,+,56542.69072,,,4,56542.69072,241.0984041,246.8505394,20384.32304,20894.13248,20837.61444,
0.675,339.18073,-,92571.54164,,,4,78239.00253,162.7125648,0.0,92571.54164,85043.73065,88278.74562,
0.675,247.16975,-,42269.19278,,,4,31481.56505,239.5646855,0.0,42269.19278,39494.21495,39635.62585,
0.676,590.41284,+,20924.63877,,,3,20924.63877,0.0,104.5180262,12012.28752,13515.70283,12754.99557,
0.68,453.18958,+,13650.20777,,,3,13650.20777,0.0,790.2477293,9246.745404,9170.31068,8975.145998,
0.682,489.28311,-,19953.35961,,,3,17798.20505,198.5518275,0.0,16982.04255,17156.40413,19953.35961,
0.682,546.38635,+,17692.05175,,,2,17692.05175,0.0,98.98270998,10460.16355,11490.603,11759.87077,
0.687,329.23285,-,34985.07599,,,4,30168.30842,961.4166259,0.0,34985.07599,33182.08627,33102.87144,
0.687,589.3595,-,18623.45089,,,2,12389.76522,141.4772545,0.0,18623.45089,17284.86608,14832.92402,
0.688,435.23599,+,33730.08663,,,3,33730.08663,0.0,764.2157091,10972.19451,11749.59939,11066.48536,
0.69,736.50781,+,19042.82721,,,3,19042.82721,0.0,559.1895898,12782.6429,15817.38125,15304.88294,
0.693,692.48096,+,21631.88623,,,3,21631.88623,0.0,294.8686157,12869.9463,14866.20251,15324.31705,
0.696,407.27982,-,323499.0415,,,4,304817.5025,144.7727231,0.0,323499.0415,320665.1441,314859.7665,
0.698,487.30618,-,35623.00011,,,3,26809.25551,912.4658498,0.0,35623.00011,35071.55821,34317.74743,
0.702,434.20706,+,13289.56027,,,3,13289.56027,0.0,73.47063045,10147.25544,8350.658435,8882.745053,
0.703,648.45435,+,20088.747,,,3,20088.747,0.0,105.0227188,13949.74441,13191.89846,15169.69965,
0.708,517.4715,+,12892.91104,,,2,12892.91104,0.0,79.58285082,9351.600623,12178.62396,12011.04919,
0.711,604.4278,+,22222.17959,,,4,22222.17959,0.0,109.9262294,11951.29338,12206.66421,13191.51902,
0.721,647.53455,+,14925.04564,,,2,14925.04564,0.0,97.91976038,14468.89244,12899.99963,13701.90485,
0.722,513.26691,+,124498.2311,,,4,124498.2311,0.0,215.7113336,90489.17767,103096.7398,107314.1909,
0.722,481.39996,+,53172.3676,,,4,53172.3676,0.0,1982.153344,36154.01423,45348.38067,47114.77344,
0.729,545.24811,+,25090.46732,,,3,25090.46732,0.0,86.31851582,11438.88114,12082.84045,13246.78019,
0.732,293.17526,-,295636.1455,,,4,177339.9021,837.1996218,0.0,281875.5057,293134.9069,295636.1455,
0.734,428.06137,-,18361.57304,,,3,1372.541073,177.3038272,0.0,17703.34319,18361.57304,12392.02385,
0.738,249.149,-,890126.4401,,,4,285261.9628,1692.909702,0.0,890126.4401,805504.0129,794144.3806,
0.738,683.401,-,400107.3019,,,4,163019.9038,233.9248017,0.0,400107.3019,363332.2107,352617.9834,
0.742,355.2485,-,21492.33716,,,3,10788.23006,199.0489179,0.0,21492.33716,20159.62885,16880.70811,
0.743,549.33826,+,94685.68665,,,5,94685.68665,236.7371555,4836.700324,29971.65587,30432.7598,27793.25185,
0.745,501.32178,-,559055.6061,,,4,314643.774,213.9333365,0.0,559055.6061,526596.4716,499744.05,
0.75,423.40613,+,33401.68776,,,3,31444.04493,0.0,122.3048477,25604.87777,33401.68776,27177.72733,
0.751,693.34851,-,21878.41101,,,3,8075.52886,143.2636005,0.0,21878.41101,21437.58834,19333.33555,
0.755,391.28506,-,32053.22553,,,5,28153.24979,5833.410241,0.0,32053.22553,31490.65914,26760.19276,
0.757,665.50879,+,43291.99984,,,3,43291.99984,0.0,708.0243498,20611.59523,36787.7869,31443.69411,
0.761,438.41702,+,18092.53507,,,2,18092.53507,0.0,128.7791577,11719.68617,16752.1366,14665.74517,
0.771,411.2402,-,45683.37101,,,4,26096.31975,1198.329308,0.0,45683.37101,24020.47202,35618.62086,
0.778,533.23602,+,323676.5194,,,4,323676.5194,0.0,1036.236111,255006.1149,238775.3869,234582.4819,
0.788,679.52374,+,50082.23835,,,2,50082.23835,0.0,1249.238343,19233.8827,42349.70202,34379.85397,
0.788,407.29083,+,12165.43896,,,2,12165.43896,0.0,81.79807219,9007.28385,10879.96826,10425.45203,
0.789,615.54462,+,14213.34805,,,2,14213.34805,0.0,221.6546497,9527.828123,13312.58293,12547.83424,
