Checked,Ion,Charge,Molecular Weight,m/z,RT [min],FWHM [min],# MI,Area,Parent Area [%],Study File ID
FALSE,[M-H]-1,-1,575.50416,574.49689,10.091,0.069,2,29906.19289,100,F6
FALSE,[M+H]+1,1,1080.67485,1081.68213,11.628,0.122,2,29904.16717,100,F7
FALSE,[M+H]+1,1,596.30126,597.30853,5.322,0.067,3,29904.16539,100,F8
FALSE,[M-H]-1,-1,580.07661,579.06934,7.105,0.142,3,29900.06105,100,F5
FALSE,[M-H]-1,-1,714.15321,713.14594,7.474,0.062,3,29899.13026,100,F5
FALSE,[M-H]-1,-1,600.55116,599.54388,10.067,0.067,2,29897.98412,100,F1
FALSE,[M+H]+1,1,903.88609,904.89337,16.132,0.109,3,29896.0444,100,F3
FALSE,[M-H]-1,-1,723.7093,722.70203,15.405,0.12,3,29892.269,100,F2
FALSE,[M-H]-1,-1,781.5984,780.59113,11.123,0.095,2,29890.47985,100,F5
FALSE,[M-H]-1,-1,1023.63478,1022.6275,10.757,0.094,3,29883.80193,100,F5
FALSE,[M-H]-1,-1,823.54317,822.53589,7.481,0.156,2,29882.95448,100,F1
FALSE,[M+H]+1,1,731.47258,732.47986,6.304,0.092,2,29880.06808,100,F9
FALSE,[M+Na]+1,1,1062.89701,1085.88623,19.019,0.113,2,29878.83027,39.8,F8
FALSE,[M+H]+1,1,1079.73931,1080.74658,7.161,0.048,2,29877.26077,100,F7
FALSE,[M+H]+1,1,675.60002,676.6073,10.629,0.116,2,29877.04085,100,F7
FALSE,[M-H]-1,-1,746.48823,745.48096,8.164,0.129,2,29866.98964,100,F4
FALSE,[M+H]+1,1,600.38408,601.39136,1.147,0.101,2,29866.91973,100,F8
FALSE,[M-H]-1,-1,1015.85567,1014.84839,15.97,0.092,2,29866.85781,100,F5
FALSE,[M+H]+1,1,606.55919,607.56647,13.453,0.129,2,29865.88771,100,F9
FALSE,[M+H]+1,1,948.56011,949.56738,11.635,0.095,2,29865.64175,100,F8
FALSE,[M+H]+1,1,850.66564,851.67291,13.322,0.121,2,29865.29087,100,F1
FALSE,[M+H]+1,1,577.6151,578.62238,17.676,0.111,2,29864.16676,100,F8
FALSE,[M-H]-1,-1,486.31831,485.31104,3.546,0.127,2,29863.82171,100,F6
FALSE,[M+H]+1,1,792.47771,793.48499,6.614,0.07,2,29857.80105,100,F1
FALSE,[M+H]+1,1,816.62364,817.63092,13.975,0.069,2,29857.67142,100,F9
FALSE,[M+H]+1,1,388.24358,389.25085,0.732,0.086,2,29856.43012,100,F1
FALSE,[M-H]-1,-1,767.57362,766.56635,12.352,0.084,2,29848.49421,100,F1
FALSE,[M+H]+1,1,1042.61821,1043.62549,11.744,0.114,2,29843.64766,100,F7
FALSE,[M-H]-1,-1,1124.7021,1123.69482,5.374,0.094,2,29842.15528,100,F4
FALSE,[M+H]+1,1,621.38689,622.39417,1.65,0.113,2,29840.64698,100,F1
FALSE,[M-H]-1,-1,665.63191,664.62463,13.423,0.115,2,29840.232,100,F1
FALSE,[M+H]+1,1,562.43584,563.44312,10.893,0.123,2,29838.8257,100,F8
FALSE,[M+H]+1,1,707.45317,708.46045,7.072,0.075,2,29834.14638,100,F7
FALSE,[M-H]-1,-1,804.11378,803.10651,10.845,0.099,4,29832.03964,100,F6
FALSE,[M+H]+1,1,1064.8499,1065.85718,16.272,0.164,2,29831.23102,100,F7
FALSE,[M+H]+1,1,921.65209,922.65936,12.658,0.099,2,29828.06933,100,F8
FALSE,[M+H]+1,1,435.30245,436.30972,7.119,0.048,2,29826.96432,100,F8
FALSE,[M+H]+1,1,771.45336,772.46063,1.714,0.175,2,29820.10348,100,F1
FALSE,[M-H]-1,-1,823.37599,822.36871,2.749,0.12,2,29819.75708,100,F1
FALSE,[M+H]+1,1,820.52544,821.53271,7.355,0.106,2,29813.82046,60.805,F8
FALSE,[M+H]+1,1,861.63835,862.64563,5.575,0.109,3,29813.05246,100,F9
FALSE,[M+H]+1,1,438.33434,439.34161,2.276,0.103,2,29808.24981,100,F8
FALSE,[M+H]+1,1,722.50499,723.51227,10.786,0.116,2,29808.18167,100,F7
FALSE,[M-H]-1,-1,577.33784,576.33057,2.196,0.061,2,29802.76851,100,F5
FALSE,[M-H]-1,-1,757.59822,756.59094,11.732,0.095,2,29793.33993,100,F4
FALSE,[M-H]-1,-1,928.6841,927.67682,12.126,0.113,2,29791.21415,100,F5
FALSE,[M+H]+1,1,705.50841,706.51569,7.006,0.062,2,29784.8401,100,F7
FALSE,[M+H]+1,1,859.31957,860.32684,11.812,0.082,4,29784.59497,100,F7
FALSE,[M+H]+1,1,663.3737,664.38098,2.314,0.11,2,29782.94286,100,F9
FALSE,[M+H]+1,1,642.52239,643.52966,10.11,0.067,2,29782.17602,100,F8
FALSE,[M-H]-1,-1,543.30952,542.30225,7.821,0.085,2,29781.73472,100,F4
FALSE,[M+H]+1,1,921.515,922.52228,10.293,0.073,2,29777.78147,100,F8
FALSE,[M-H]-1,-1,753.56795,752.56067,10.137,0.088,2,29776.19921,100,F5
FALSE,[M-H]-1,-1,982.51546,981.50818,7.024,0.113,2,29772.06656,100,F4
FALSE,[M+H]+1,1,708.42723,709.43451,7.383,0.122,2,29763.71659,100,F1
FALSE,[M+H]+1,1,708.32854,709.33582,2.769,0.162,2,29762.45875,100,F9
FALSE,[M-H]-1,-1,600.36519,599.35791,1.242,0.162,2,29757.62358,100,F5
FALSE,[M+H]+1,1,668.21318,669.22046,6.614,0.069,4,29757.07827,100,F9
FALSE,[M-H]-1,-1,641.55159,640.54431,11.219,0.089,3,29756.37422,100,F5
FALSE,[M-H]-1,-1,842.53676,841.52948,8.166,0.072,2,29753.96269,100,F6
FALSE,[M-H]-1,-1,757.59804,756.59076,11.673,0.1,2,29751.95777,100,F5
FALSE,[M+H]+1,1,595.62615,596.63342,11.25,0.141,2,29749.43754,100,F8
