MS2 ID,Retention Time (min),Rank,Identification,Precursor Mass,Library Mass,Delta m/z,Dot Product,Reverse Dot Product,Purity,Spectral Components,Optimal Polarity,LipiDex Spectrum,Library,Potential Fragments
136,0.552,1,LysoPC 18:2 [M+H]+;,520.333,520.3403,-14.0293,33,777,0,,true,true,Coon_Lab_HCD_Acetate_20171009.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
173,0.694,1,LysoPC 18:2 [M+H]+;,520.333,520.3403,-14.0293,3,1000,0,,true,true,Coon_Lab_HCD_Acetate_20171009.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
183,0.733,1,Plasmenyl-PC P-16:0_10:0 [M+Ac-H]-;,692.482,692.4866,-6.6427,4,1000,100,Plasmenyl-PC P-16:0_10:0 [M+Ac-H]-(100),true,true,Coon_Lab_HCD_Acetate_20171009.msp,78.9591 | 168.0431 | 171.1391 | 224.0693 | 430.3092 | 464.3146 | 618.4504 | 
187,0.749,1,PC 10:0_16:1 [M+H]+;,648.455,648.4604,-8.3274,16,1000,0,,false,true,Coon_Lab_HCD_Acetate_20171009.msp,86.0964 | 184.0733 | 
250,0.99,1,LysoPC 20:5 [M+H]+;,542.323,542.3247,-3.1347,729,732,0,,true,true,Coon_Lab_HCD_Acetate_20171009.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
254,1.003,1,LysoPE 20:5 [M+H]+;,500.276,500.2777,-3.3981,779,1000,0,,false,true,Coon_Lab_HCD_Acetate_20171009.msp,359.2581 | 482.2666 | 
261,1.03,1,LysoPC 18:3 [M+H]+;,518.323,518.3247,-3.2798,732,734,0,,true,true,Coon_Lab_HCD_Acetate_20171009.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
281,1.105,1,LysoPC 16:1 [M+H]+;,494.324,494.3247,-1.4161,722,736,0,,true,true,Coon_Lab_HCD_Acetate_20171009.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
288,1.135,1,LysoPC 20:5 [M+H]+;,542.324,542.3247,-1.2907,910,928,0,,true,true,Coon_Lab_HCD_Acetate_20171009.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
294,1.157,1,LysoPC 22:6 [M+H]+;,568.339,568.3403,-2.2874,729,732,0,,true,true,Coon_Lab_HCD_Acetate_20171009.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
297,1.169,1,LysoPC 18:3 [M+H]+;,518.324,518.3247,-1.3505,958,964,0,,true,true,Coon_Lab_HCD_Acetate_20171009.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
299,1.176,1,LysoPE 22:6 [M+H]+;,526.292,526.2934,-2.6601,981,1000,0,,false,true,Coon_Lab_HCD_Acetate_20171009.msp,385.2737 | 508.2823 | 
309,1.214,1,LysoPC 20:4 [M+H]+;,544.339,544.3403,-2.3882,729,732,0,,true,true,Coon_Lab_HCD_Acetate_20171009.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
310,1.217,1,LysoPE 20:4 [M+H]+;,502.292,502.2934,-2.7872,973,1000,0,,false,true,Coon_Lab_HCD_Acetate_20171009.msp,361.2737 | 484.2823 | 
314,1.23,1,LysoPC 18:2 [M+H]+;,520.339,520.3403,-2.4984,729,731,0,,true,true,Coon_Lab_HCD_Acetate_20171009.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
317,1.242,1,LysoPC 16:1 [M+H]+;,494.323,494.3247,-3.439,977,990,0,,true,true,Coon_Lab_HCD_Acetate_20171009.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
318,1.245,1,LysoPE 18:2 [M+H]+;,478.292,478.2934,-2.9271,975,1000,0,,false,true,Coon_Lab_HCD_Acetate_20171009.msp,337.2737 | 460.2823 | 
332,1.296,1,LysoPC 22:6 [M+H]+;,568.338,568.3403,-4.0469,861,864,0,,true,true,Coon_Lab_HCD_Acetate_20171009.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
337,1.314,1,LysoPE 22:6 [M+H]+;,526.291,526.2934,-4.5602,983,995,0,,false,true,Coon_Lab_HCD_Acetate_20171009.msp,385.2737 | 508.2823 | 
342,1.333,1,LysoPC 15:0 [M+H]+;,482.323,482.3247,-3.5246,962,997,0,,true,true,Coon_Lab_HCD_Acetate_20171009.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
347,1.352,1,LysoPC 20:4 [M+H]+;,544.339,544.3403,-2.3882,941,946,0,,true,true,Coon_Lab_HCD_Acetate_20171009.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
348,1.355,1,LysoPE 20:4 [M+H]+;,502.292,502.2934,-2.7872,930,997,0,,false,true,Coon_Lab_HCD_Acetate_20171009.msp,361.2737 | 484.2823 | 
349,1.358,1,LysoPE 22:5 [M+H]+;,528.307,528.309,-3.7857,982,1000,0,,false,true,Coon_Lab_HCD_Acetate_20171009.msp,387.2894 | 510.2979 | 
352,1.369,1,LysoPC 18:2 [M+H]+;,520.339,520.3403,-2.4984,975,983,0,,true,true,Coon_Lab_HCD_Acetate_20171009.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
357,1.387,1,LysoPE 18:2 [M+H]+;,478.292,478.2934,-2.9271,935,1000,0,,false,true,Coon_Lab_HCD_Acetate_20171009.msp,337.2737 | 460.2823 | 
359,1.394,1,LysoPC 22:5 [M+H]+;,570.354,570.356,-3.5066,736,739,0,,true,true,Coon_Lab_HCD_Acetate_20171009.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
368,1.428,1,LysoPC 20:5 [M+H]+;,542.321,542.3247,-6.8225,135,272,0,,true,true,Coon_Lab_HCD_Acetate_20171009.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
369,1.431,1,LysoPC 20:3 [M+H]+;,546.354,546.356,-3.6606,730,732,0,,true,true,Coon_Lab_HCD_Acetate_20171009.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
371,1.438,1,AC 18:2 [M+H]+;,424.341,424.3427,-4.0062,827,972,100,AC 18:2 [M+H]+(100),true,true,Coon_Lab_HCD_Acetate_20171009.msp,60.0808 | 85.0284 | 144.1019 | 263.2369 | 365.2686 | 
374,1.452,1,LysoPC 22:6 [M+H]+;,568.337,568.3403,-5.8064,569,870,0,,true,true,Coon_Lab_HCD_Acetate_20171009.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
375,1.455,1,LysoPE 20:3 [M+H]+;,504.308,504.309,-1.9829,981,1000,0,,false,true,Coon_Lab_HCD_Acetate_20171009.msp,363.2894 | 486.2979 | 
379,1.471,1,LysoPC 16:0 [M+H]+;,496.339,496.3403,-2.6192,728,731,0,,true,true,Coon_Lab_HCD_Acetate_20171009.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
384,1.49,1,LysoPC 17:1 [M+H]+;,508.34,508.3403,-0.5902,981,989,0,,true,true,Coon_Lab_HCD_Acetate_20171009.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
386,1.496,1,LysoPC 18:3 [M+H]+;,518.322,518.3247,-5.2091,44,777,0,,true,true,Coon_Lab_HCD_Acetate_20171009.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
390,1.512,1,LysoPE 22:5 [M+H]+;,528.308,528.309,-1.8928,897,1000,0,,false,true,Coon_Lab_HCD_Acetate_20171009.msp,387.2894 | 510.2979 | 
392,1.522,1,LysoPC 18:2 [M+H]+;,520.34,520.3403,-0.5765,872,891,0,,true,true,Coon_Lab_HCD_Acetate_20171009.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
399,1.548,1,LysoPC 22:5 [M+H]+;,570.355,570.356,-1.7533,753,756,0,,true,true,Coon_Lab_HCD_Acetate_20171009.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
