Retention Time (min),Quant Ion,Polarity,Area (max),Identification,Lipid Class,Features Found,Filter Status,Rep1.raw (F1),Hap1_Neg_1.raw (F2),Hap1_Pos_1.raw (F3),Hap1_Neg_3.raw (F4),Hap1_Pos_3.raw (F5),Hap1_Neg_2.raw (F6),Hap1_Pos_2.raw (F7),
1.481,466.32581,+,609346.9983,,,4,,609346.9983,0.0,540033.6044,0.0,500619.1208,0.0,490250.3036,
1.485,339.19681,-,155932.7696,,,3,,155932.7696,76601.26788,0.0,119042.3007,0.0,110309.5014,0.0,
1.487,610.31061,-,213265.6287,,,4,,199080.7736,213265.6287,0.0,116314.9221,0.0,136980.4698,0.0,
1.498,649.33099,-,167624.7308,,,4,,167624.7308,162471.2239,0.0,165911.7066,0.0,158169.7924,0.0,
1.5,574.31055,-,102765.6885,,,2,Adduct of existing peak,101194.8987,35752.97595,48505.86933,102765.6885,82402.64036,31922.11651,30846.0711,
1.512,1005.58728,-,201588.4163,,,3,Dimer,201588.4163,160892.3025,0.0,176747.031,0.0,150460.0967,0.0,
1.513,560.29486,-,751681.711,,,4,,751681.711,565173.292,0.0,487274.1307,0.0,428639.3871,0.0,
1.513,1033.58264,+,111618.2656,,,4,Adduct of existing peak,98252.3287,66668.51469,59308.58928,64916.39675,111618.2656,45966.24584,95641.86645,
1.515,530.28333,+,4845968.72,,,7,,4845968.72,2073516.774,3656080.509,1773529.805,3511920.66,1733087.03,3601563.282,
1.517,1057.58325,+,107854.0355,,,4,Adduct of existing peak,99348.16481,43666.68502,107801.843,59239.65181,73058.10599,36573.29432,107854.0355,
1.52,502.29037,-,2.900574264E7,LysoPE 20:3,LysoPE,6,,2.900574264E7,1.41100115E7,3465472.381,1.158422866E7,1.365778829E7,1.117417315E7,1.252920935E7,
1.523,424.33865,+,982034.1131,AC 18:2,AC,2,,982034.1131,0.0,884481.5867,0.0,160428.288,0.0,80425.21012,
1.527,997.61926,-,629860.8392,,,4,Adduct of existing peak,629860.8392,537665.913,196453.6098,537173.1162,262543.0466,517712.3461,393224.969,
1.53,630.33673,-,217504.9773,,,3,Adduct of existing peak,217504.9773,164271.5465,0.0,53468.8741,0.0,152248.8766,0.0,
1.531,604.35779,-,1454390.75,LysoPC 20:3,LysoPC,2,,1454390.75,249583.0438,0.0,1361627.593,0.0,178143.7689,0.0,
1.533,572.33105,+,1787871.366,,,4,,1787871.366,0.0,1635212.319,0.0,1401183.586,0.0,1550237.079,
1.534,957.58691,+,1145859.116,,,7,Adduct of existing peak,1145859.116,469197.198,567261.9388,429131.4998,573255.5051,396461.2644,531503.4202,
1.536,927.53784,-,73490.87662,,,2,Adduct of existing peak,73490.87662,69039.00145,49052.73244,37008.69809,46706.36637,35730.22395,39138.53681,
1.545,452.27475,-,2.837629295E7,LysoPE 16:0,LysoPE,7,,2.837629295E7,1.59794334E7,1.226318206E7,1.315641373E7,1.191475391E7,4300829.946,1.15750876E7,
1.548,907.5719,+,1015369.465,,,7,Adduct of existing peak,1015369.465,386810.2176,549909.3976,350191.104,521773.3437,340200.2819,489421.0713,
1.549,313.27115,+,7262762.056,,,4,,7262762.056,0.0,6010959.096,0.0,5822001.484,0.0,5695037.144,
1.55,971.60065,+,346883.8091,,,4,Adduct of existing peak,346883.8091,0.0,269430.3361,0.0,284376.5556,0.0,238239.5117,
1.55,1003.5705,+,122156.3804,,,2,Adduct of existing peak,122156.3804,70227.5979,58948.5167,48527.16011,34932.18732,65880.15357,41599.02691,
1.552,947.60388,-,1710662.256,,,7,Adduct of existing peak,1710662.256,746202.8128,563873.8142,636727.8052,491898.8912,653359.065,544865.9591,
1.553,981.58704,+,1721036.884,,,5,,1721036.884,395773.5049,844503.8165,583513.7877,780077.0774,548662.3435,518508.0668,
1.553,987.57074,+,74632.96292,,,2,Adduct of existing peak,74632.96292,0.0,60032.12892,0.0,61349.77982,0.0,47663.91358,
1.554,554.34204,-,1.627074175E7,LysoPC 16:0,LysoPC,4,Redundant Identification,1.627074175E7,1.325659596E7,0.0,1.371296617E7,0.0,1.305663592E7,0.0,
1.555,480.30576,-,3509568.253,,,4,In-source fragment,3509568.253,2472697.795,0.0,2638414.776,0.0,2714859.647,0.0,
1.556,536.2951,-,2715185.369,,,4,,2715185.369,2161360.299,0.0,1823392.543,0.0,1326662.543,0.0,
1.557,534.2915,+,2576597.078,,,2,Adduct of existing peak,2576597.078,0.0,468315.6076,0.0,1385340.69,0.0,306976.9835,
1.558,478.33215,+,591593.7466,,,3,Adduct of existing peak,591593.7466,0.0,426547.6288,0.0,234858.4256,0.0,424485.7997,
1.56,554.38855,+,627377.3356,,,2,,627377.3356,0.0,322485.6412,0.0,573644.2883,0.0,231083.4595,
1.561,991.6651,+,8309157.559,,,4,Dimer,8309157.559,0.0,4402571.346,0.0,3080834.427,0.0,4361770.631,
1.561,594.30341,+,1113292.877,,,4,Adduct of existing peak,1113292.877,74302.16792,646662.5494,109106.3151,666489.1967,106205.8678,489008.9345,
1.562,1049.67139,-,479720.1029,,,4,Adduct of existing peak,479720.1029,267505.1321,0.0,247721.8009,0.0,230771.2543,0.0,
1.563,496.33618,+,1.482363032E8,LysoPC 16:0,LysoPC,8,,1.482363032E8,0.0,9.344184821E7,0.0,7.595639464E7,0.0,1.038259984E8,
1.563,408.31998,+,539225.9741,,,4,,520513.27,0.0,539225.9741,0.0,435682.6541,0.0,508121.4343,
1.564,1013.64703,+,1377415.694,,,4,Adduct of existing peak,1377415.694,0.0,872929.8147,0.0,1044783.402,0.0,757543.3256,
1.564,1021.61456,+,840271.0653,,,2,Adduct of existing peak,577766.1239,0.0,197225.778,0.0,840271.0653,0.0,352648.5014,
1.566,1063.66211,+,721924.9653,,,3,Adduct of existing peak,721924.9653,0.0,507101.294,0.0,203369.3613,0.0,331194.2628,
1.572,1023.6333,+,2038267.516,,,6,,2038267.516,800904.2117,706017.9028,649431.5596,468941.4133,712209.6138,667299.889,
1.575,1061.58606,+,116535.9416,,,4,Adduct of existing peak,116535.9416,0.0,76274.44041,0.0,95737.54036,0.0,73113.7041,
1.578,1045.61536,+,461808.9524,,,4,Adduct of existing peak,461808.9524,0.0,316925.8952,0.0,387249.2257,0.0,264969.8677,
1.585,526.28979,-,5.714642636E7,LysoPE 22:5,LysoPE,10,,5.714642636E7,2.388415894E7,2.628160492E7,2.082221459E7,2.632292063E7,1.966222132E7,2.473698424E7,
1.587,329.24582,-,491455.0718,,,2,Adduct of existing peak,491455.0718,342105.7434,0.0,190591.7955,0.0,177232.9719,0.0,
1.592,387.28622,+,3104512.911,,,4,,3104512.911,0.0,2612310.516,0.0,2679594.848,0.0,2892555.335,
1.596,1055.60205,+,1413069.691,,,6,,1413069.691,302318.0759,520267.5271,333708.0933,641389.2585,318137.7492,447950.946,
1.598,586.31055,-,2452740.207,,,5,Adduct of existing peak,2452740.207,1708621.269,0.0,1419426.562,0.0,1312578.393,0.0,
1.598,684.27856,-,120754.8729,,,3,,47554.94027,102997.6275,0.0,93140.2571,0.0,120754.8729,0.0,
1.599,550.28644,+,1145348.457,,,4,Adduct of existing peak,1145348.457,0.0,1078927.798,0.0,1097813.823,0.0,889473.1956,
1.599,566.25153,+,529594.6264,,,4,,468513.7893,0.0,369008.1198,0.0,529594.6264,0.0,388112.4368,
1.6,608.29254,-,221980.6477,,,3,Adduct of existing peak,221980.6477,179973.8036,0.0,28325.89209,0.0,141296.5007,0.0,
1.601,669.29138,-,122793.0491,,,2,,122793.0491,75506.76217,0.0,65247.62892,0.0,68801.51425,0.0,
1.601,1075.56934,-,106541.7216,,,3,,97255.23988,106541.7216,0.0,57492.55671,0.0,55160.72665,0.0,
1.611,570.35132,+,1.184851268E7,LysoPC 22:5,LysoPC,2,,1.184851268E7,0.0,1868047.726,0.0,2183675.082,0.0,8738680.655,
1.611,1000.5766,-,82722.30017,,,2,,67407.5786,24565.86167,0.0,82722.30017,0.0,50517.1209,0.0,
1.615,1081.61755,+,365037.4525,,,7,,365037.4525,120340.8411,168391.6923,121452.5123,160733.3483,119546.8097,164949.2576,
1.615,628.40338,+,282263.1338,,,2,,178612.8618,0.0,60781.06229,0.0,73764.65015,0.0,282263.1338,
1.623,473.2789,-,6619744.519,,,7,,6619744.519,5288142.946,554170.6502,4770600.41,527819.5268,4538277.26,488232.1595,
1.624,653.34106,-,92431.76181,,,4,,58529.77465,92431.76181,0.0,43170.23222,0.0,52683.97202,0.0,
1.629,592.33313,+,454022.5274,,,2,Adduct of existing peak,454022.5274,0.0,259905.8443,0.0,78090.70737,0.0,254095.4786,
