Retention Time (min),Quant Ion,Polarity,Area (max),Identification,Lipid Class,Features Found,Rep1.raw (F1),Hap1_Neg_1.raw (F2)+Hap1_Pos_1.raw (F3),Hap1_Neg_3.raw (F4)+Hap1_Pos_3.raw (F5),Hap1_Neg_2.raw (F6),
7.431,719.52972,-,179530.4332,,,4,158987.5938,160194.6173,179530.4332,164618.0603,
7.435,893.51324,-,70469.60536,,,4,69709.52023,70469.60536,64529.54895,63089.19855,
7.436,925.51489,-,310641.47,,,7,310641.47,209685.5292,219210.0398,194708.3997,
7.439,717.46649,-,860108.0701,PG 16:1_16:1,PG,5,860108.0701,517890.5225,624281.2899,619201.8634,
7.448,720.51276,+,321929.5994,PC[OH] OH-30:1,PC[OH],2,321929.5994,128763.1575,292328.3464,104014.7741,
7.449,313.2709,+,135926.4988,,,4,135926.4988,114748.2658,96477.92371,101331.5785,
7.456,705.52783,-,34576.10972,,,2,34065.56471,12341.63491,34576.10972,27818.6249,
7.457,767.48212,-,192337.9486,,,2,99332.03333,121940.1988,192337.9486,143420.2754,
7.46,661.52405,+,560284.7855,SM d31:1,SM,4,560284.7855,504003.1451,513446.8794,543817.1282,
7.462,547.46869,+,492643.6226,,,4,492643.6226,394809.3362,379975.2742,401513.3652,
7.462,781.49902,-,84654.70898,,,3,84654.70898,66828.74556,62105.8252,47060.65217,
7.467,882.51581,-,803895.35,,,2,775211.8939,779211.1928,803895.35,798372.5107,
7.479,1354.77393,-,1020948.487,,,4,388877.5029,1020948.487,494939.9004,556526.029,
7.48,826.58984,+,205345.6384,PC[OH] OH-38:4,PC[OH],3,176794.3546,203503.2961,205345.6384,191104.2589,
7.484,480.41617,+,48603.91297,,,3,42358.2275,40871.34978,37499.60267,48603.91297,
7.489,977.50073,-,126972.1456,,,4,108405.2905,91808.52826,126972.1456,121917.2123,
7.494,819.51306,-,3.164771269E7,,,7,3.164771269E7,2.332820018E7,2.694609945E7,2.416866779E7,
7.494,983.51758,-,209630.5828,,,4,209630.5828,162391.3909,185725.4503,167979.9401,
7.499,758.49298,-,291011.2602,,,2,291011.2602,264599.7275,220731.7809,238149.2192,
7.5,384.41678,+,692013.8709,,,4,684852.3729,667884.1702,621755.3743,692013.8709,
7.505,312.32355,+,2674663.11,,,4,2674663.11,1772613.586,2064854.743,2210202.053,
7.505,351.23016,-,78645.33382,,,2,78645.33382,57765.10524,69019.52998,61699.31619,
7.51,580.33484,-,203924.1455,,,4,203924.1455,159191.8907,201131.8006,176606.6317,
7.515,339.28659,+,1798505.551,,,4,1557689.592,1318225.202,1798505.551,1342504.833,
7.517,385.27029,+,2463731.381,,,2,2128553.562,1758310.249,2046880.826,2463731.381,
7.518,556.44434,-,267946.3413,,,7,267946.3413,138876.2052,158688.3915,135191.1842,
7.526,719.48175,-,140029.1769,PG 16:1_16:0,PG,4,140029.1769,105596.7633,118809.018,117062.6825,
7.532,833.4693,-,77083.7128,,,4,52780.77496,76087.87955,76158.12321,77083.7128,
7.533,676.48676,+,3326433.249,PC 14:1_14:0,PC,6,3326433.249,2431318.669,3185104.409,3316943.784,
7.533,1233.70032,-,146790.809,,,3,107116.5732,146790.809,120367.3489,123138.933,
7.539,339.32382,-,219143.6234,,,3,219143.6234,210396.6223,181952.2483,173241.9647,
7.539,580.44135,+,45685.71344,,,2,45685.71344,30776.19069,34190.29847,34583.30433,
7.541,603.51617,+,122691.7204,,,3,6673.209449,122691.7204,79504.25416,82481.06445,
7.541,645.5636,+,89880.77312,,,4,89880.77312,74274.69701,75542.45345,83987.80204,
7.543,876.5686,+,331035.7414,,,3,274205.0195,331035.7414,260016.9629,327696.7127,
7.543,616.51215,+,203356.5257,,,4,203356.5257,120695.9928,108795.3039,139869.7266,
7.545,377.30176,+,94481.36403,,,4,82477.38533,94481.36403,72809.85824,74150.85733,
7.546,522.46997,+,67424.42808,,,4,67424.42808,57644.6447,59771.65241,64709.94882,
7.547,780.51306,-,305242.9878,,,4,305242.9878,245602.4422,267641.0324,245438.2405,
7.549,1151.69775,-,2254243.867,,,7,2254243.867,1754793.845,1441100.937,1443386.388,
7.553,596.21887,+,744842.5878,,,2,744842.5878,93648.83192,144130.0005,118427.9609,
7.553,838.62915,+,171966.4564,,,2,103302.2014,49812.80863,171966.4564,91136.59774,
7.554,743.4823,-,696606.4693,PG 16:1_18:2,PG,4,496284.0508,283342.0525,696606.4693,360460.5023,
7.558,865.4953,-,249781.5436,,,2,249781.5436,151768.4779,202425.0237,167882.2979,
7.559,931.52808,-,184231.7233,,,4,166422.0057,93631.82907,161721.5654,184231.7233,
7.567,387.32376,-,173123.7574,,,4,173123.7574,136340.0906,149846.1268,147560.4965,
7.567,682.55658,+,112539.2562,,,4,94348.44472,112539.2562,94400.98949,88674.06853,
7.571,784.5434,+,388386.0125,PC[OH] OH-35:4,PC[OH],4,332133.807,388386.0125,335770.0572,318572.8107,
7.575,743.13403,-,1450618.027,,,3,1450618.027,20043.97721,377482.4327,183894.6029,
7.576,507.48477,+,142894.2477,,,4,142762.6544,142894.2477,114255.1774,139724.5772,
7.577,869.52588,-,5548472.184,PG 22:6_22:4,PG,4,5548472.184,4154208.454,4873559.646,4190607.818,
7.579,671.09479,-,311796.5737,,,2,311796.5737,1859.186256,61677.82253,32749.27984,
7.581,564.34015,-,124046.8982,,,3,124046.8982,87368.89426,114249.7333,96211.06784,
7.583,1380.79028,-,95216.75456,,,4,65462.00274,95216.75456,81866.50512,82528.02607,
7.584,776.51758,+,355912.0294,PC 36:7,PC,4,355912.0294,334219.5959,316413.6368,297655.3651,
7.585,845.52795,-,1.014147717E7,PG 20:3_22:5,PG,7,1.014147717E7,6065677.241,7116696.344,6793337.783,
7.586,660.49219,+,115504.3569,,,3,115504.3569,99584.68689,84703.77527,105400.775,
7.587,688.48706,+,242964.7407,PC 29:2,PC,4,214589.9525,242964.7407,240208.2869,186646.0815,
7.588,719.56561,+,420798.6348,,,4,420798.6348,410767.4857,354945.7134,386413.1554,
7.593,748.48322,+,234432.7488,,,2,234432.7488,193771.623,194294.2292,216298.7133,
7.595,803.10083,-,629882.2438,,,2,629882.2438,1314.093663,75154.85705,32483.28186,
7.598,617.34344,-,40149.63465,,,4,40149.63465,32410.77775,37608.81523,39849.45583,
7.602,852.54779,+,547166.493,PC 42:11,PC,4,397086.2633,547166.493,324372.5817,342964.4684,
7.605,611.49896,+,242413.2747,,,4,165320.1568,242413.2747,233681.9878,232747.0719,
7.606,465.47464,+,360517.0989,,,4,360517.0989,347239.1193,254140.0474,345070.3881,
7.608,687.53876,+,568780.3072,SM d33:2,SM,4,545285.5834,568780.3072,437729.7273,560671.1036,
7.62,748.54413,+,1855295.418,PC[OH] OH-32:1,PC[OH],4,1855295.418,1063371.781,893046.8712,826958.2329,
7.622,745.49768,-,1120580.567,PG 16:1_18:1,PG,3,1120580.567,878022.6449,765241.9014,564680.2647,
7.625,326.3392,+,547195.7589,,,4,547195.7589,460090.2278,453760.7094,461495.7412,
7.644,1177.71326,-,113993.6948,,,5,113993.6948,75625.81189,90765.20845,80702.52565,
7.647,1045.51746,-,52339.20583,,,3,42005.49639,52339.20583,51423.77815,51747.60152,
7.65,834.58099,-,859724.198,PC[OH] OH-34:1,PC[OH],3,755131.2717,770338.5919,859724.198,824118.2629,
7.65,657.47894,+,240195.4503,,,3,240195.4503,94668.8626,173046.7518,178769.0398,
7.65,498.49533,+,68659.75699,,,3,66326.26098,62782.00803,65450.61521,68659.75699,
7.651,596.11597,-,311996.4974,,,2,311996.4974,5752.854823,76569.39497,43876.50076,
7.651,411.39114,+,219212.112,,,4,163870.3086,219212.112,191632.5925,207310.0981,
7.651,963.51508,-,208157.4222,,,4,157367.951,208157.4222,200783.241,200667.3457,
7.652,593.1181,-,2893944.993,,,2,2893944.993,60166.68952,648672.6708,387336.8925,
7.653,573.48395,+,530143.5506,Plasmenyl-DG P-34:4,Plasmenyl-DG,4,530143.5506,480189.4565,527117.3614,489892.5349,
7.655,691.53369,+,136656.1136,,,4,129653.5317,115241.1014,94028.03156,136656.1136,
7.656,881.51282,-,4295305.838,PI 38:6,PI,7,4228422.333,4270367.354,4295305.838,4057282.147,
7.656,734.49341,-,699205.306,PC O-34:5,Plasmenyl-PC,5,699205.306,487516.2712,516510.6908,514997.3495,
7.659,916.58325,-,87275.38472,,,4,77601.00083,85442.09312,87275.38472,82394.91956,
7.68,623.49927,+,1356345.9,,,4,1356345.9,1272511.424,1222499.106,1337608.068,
7.681,900.55249,+,961829.3148,,,4,872019.7727,961829.3148,826392.9366,892830.1986,
7.684,774.5592,+,8862610.959,PC[OH] OH-34:2,PC[OH],4,8862610.959,2721644.366,2982718.742,2923648.933,
7.685,776.57397,+,3273732.248,PC[OH] OH-34:1,PC[OH],3,3273732.248,2892913.323,2860474.475,3109868.268,
7.686,795.51355,-,3703208.898,PG 18:1_20:4,PG,2,3069177.461,2025109.971,3703208.898,3365966.036,
7.687,834.62585,+,224920.573,,,2,224920.573,157605.5618,132600.8164,178838.5799,
7.687,722.49286,-,70455.97065,,,4,70455.97065,60922.21482,64933.0448,62178.34494,
7.689,552.1925,+,245124.9165,,,2,245124.9165,138301.8652,110742.0285,119973.962,
7.691,676.48621,+,3109808.083,PC 28:1,PC,4,2912940.037,3109808.083,2458917.498,2635578.518,
7.692,720.51276,+,337998.0942,PC[OH] OH-30:1,PC[OH],4,337998.0942,128754.7462,162798.5234,154131.6664,
7.696,694.4986,-,109902.6869,,,4,106744.6601,101984.1048,109902.6869,108964.5379,
7.705,818.58337,+,401112.8988,,,4,401112.8988,238911.3343,250188.8593,209539.2983,
7.713,664.48663,+,378580.7311,PC 27:0,PC,4,378580.7311,327977.0786,347777.0281,349414.281,
7.714,1071.53284,-,64926.04505,,,4,50608.69048,62716.20715,64926.04505,63043.57566,
7.716,907.52844,-,6007057.591,PI 40:7,PI,7,6007057.591,5202924.735,5567603.518,5298333.134,
7.721,774.50092,+,241508.069,PC 36:8,PC,2,241508.069,209835.6062,190823.7076,201657.7666,
7.728,752.51471,+,3067247.705,PC 14:0_20:5,PC,8,3067247.705,2897163.178,2730931.151,2897395.382,
7.733,580.50995,+,104246.1057,,,4,102848.6589,101811.1151,100513.8777,104246.1057,
7.734,649.51428,+,1916207.523,,,4,1756967.217,1776869.193,1910000.017,1916207.523,
7.739,757.65186,-,231560.7782,,,3,44972.65853,231560.7782,48418.38704,44784.86356,
7.74,926.56824,+,1337262.675,,,4,1292047.482,1269980.975,1153027.736,1337262.675,
7.743,612.15936,+,1227726.968,,,3,1227726.968,259298.1433,233753.4912,251897.2145,
7.743,643.56622,-,54867.5717,,,2,54867.5717,41636.51433,48378.17698,42642.54358,
7.744,311.29324,-,2919446.795,,,4,2919446.795,2601944.349,2743325.605,2643483.348,
7.744,393.29593,-,153042.4267,,,4,153042.4267,140761.2565,138255.7719,127907.1635,
7.748,342.37006,+,3665460.029,,,4,3002687.097,3665460.029,3305167.626,3581702.911,
7.754,996.63959,+,263819.3408,,,6,263819.3408,223568.2746,187433.9588,213170.0465,
7.761,775.55676,-,284024.2071,,,4,267255.924,248071.2344,279984.5042,284024.2071,
7.762,419.31122,-,67641.12294,,,2,56333.61277,63647.43745,63618.2055,67641.12294,
7.764,561.48376,+,100666.6734,,,3,91138.28351,93940.88201,100666.6734,82535.05098,
7.771,580.46661,+,97417.41261,,,4,97417.41261,95770.7721,86275.95025,88747.50702,
7.771,692.48486,-,42334.22582,,,2,33033.04161,38860.90008,37155.30307,42334.22582,
7.773,731.48224,-,869869.3869,PG 16:1_17:1,PG,3,869869.3869,91657.99069,269776.8641,240157.5485,
7.776,873.5498,-,478643.7211,,,2,478643.7211,334041.6513,406487.1117,339624.0919,
7.779,734.52863,+,1361980.296,,,7,1361980.296,767490.872,728349.9235,820982.3952,
7.783,337.30869,-,2502625.659,,,4,2502625.659,2130473.111,2198664.957,2170996.264,
7.785,866.49524,+,80509.33087,,,2,69153.11018,80509.33087,51699.80601,56644.13644,
7.788,720.51459,-,101041.822,,,3,101041.822,86664.91961,99722.92205,98642.87873,
7.794,806.49304,-,5400181.777,,,7,5400181.777,2761371.868,2832371.057,2600246.541,
7.795,702.50122,+,1.244391626E7,PC 30:2,PC,4,1.239912504E7,1.244391626E7,1.156703526E7,1.232229279E7,
7.796,717.54968,+,1089337.927,,,4,1089337.927,1017502.485,958921.2201,945118.4404,
7.806,1097.50586,-,58272.44023,,,2,58272.44023,36956.50958,56092.33084,52256.7039,
7.807,391.31696,+,130367.3148,,,3,127877.7066,126124.0909,116089.1719,130367.3148,
7.807,618.4082,+,104290.3946,,,2,104290.3946,38394.24793,55801.56646,48938.67707,
7.808,737.5741,+,54804.75559,,,2,48263.72036,44803.95397,54804.75559,46155.84892,
7.814,1015.49878,-,161374.6074,,,3,161374.6074,136326.5212,155103.7043,159859.2211,
7.815,778.5329,+,6354460.109,PC 36:6,PC,3,6354460.109,3516224.464,3392802.411,3812107.15,
7.817,1021.51569,-,145907.0459,,,4,127482.8543,124091.5365,145907.0459,145745.0531,
7.819,802.53253,+,2432022.078,PC 38:8,PC,4,2432022.078,2201954.451,1992444.333,2331636.748,
7.82,549.48322,+,932157.5197,,,4,931418.9962,932157.5197,794668.5999,876958.7702,
7.82,939.51483,-,853431.5052,,,4,853431.5052,853411.4633,819867.0749,852384.2237,
7.82,936.56879,-,413773.4973,PC 22:6_22:6,PC,4,413773.4973,397315.4312,402828.7867,411559.7907,
7.826,857.5127,-,3.578019524E7,PI 16:0_20:4,PI,7,3.578019524E7,2.879975447E7,3.023817635E7,2.952557262E7,
7.832,820.1814,-,121958.675,,,2,121958.675,3359.568762,64810.34098,46016.36799,
7.834,662.5072,+,1457014.091,PC O-28:0,Plasmenyl-PC,4,1457014.091,1207750.956,1196387.848,1333527.206,
7.834,1532.04016,-,99657.95153,,,3,34537.88624,99657.95153,65453.2534,77040.72528,
7.843,599.4989,+,1.29629046E7,Plasmenyl-DG P-16:0_20:5,Plasmenyl-DG,4,1.29629046E7,9952371.307,1.027615328E7,1.041487984E7,
7.846,776.22699,+,1.187252689E7,,,4,1.187252689E7,1728286.004,2386872.241,2071297.387,
7.846,779.22546,+,2424343.259,,,4,2424343.259,340636.575,473460.5482,406325.7102,
7.846,777.50226,-,146511.2402,,,2,146511.2402,127964.9851,138658.4518,118706.3892,
7.847,817.25262,+,5472098.638,,,4,5472098.638,1106394.464,1458319.676,1223280.407,
7.848,820.25122,+,1222941.238,,,3,1222941.238,210091.5906,259687.1292,229665.7285,
7.851,712.5224,+,4249920.985,PC O-32:3,Plasmenyl-PC,4,4249920.985,4008162.897,3581080.944,3868170.645,
7.851,917.57715,+,160810.2712,,,2,103770.2689,160810.2712,109922.7692,137365.4331,
7.853,821.52838,-,9678247.948,PG 18:1_22:5,PG,6,9678247.948,8219011.719,9315372.436,8509890.095,
7.854,936.61426,+,1017937.194,PC[OH] OH-47:12,PC[OH],4,755501.3987,939272.4075,561402.6141,1017937.194,
7.856,770.57483,+,322452.3837,PC 35:3,PC,3,249302.7167,322452.3837,219420.7165,302669.4588,
7.856,886.59882,+,218152.7196,,,4,116092.6641,152558.7153,71930.88322,218152.7196,
7.858,832.50781,-,1.898312882E7,,,6,1.898312882E7,6479707.769,6267387.436,1.146552836E7,
7.858,743.13403,-,3088008.093,,,4,3088008.093,44044.33744,669112.7027,354222.3835,
7.861,746.13239,-,587994.1589,,,2,587994.1589,4253.17848,126625.5727,61503.25133,
7.862,671.09479,-,777411.8706,,,2,777411.8706,4519.966254,168462.2914,76870.51005,
7.867,815.54828,-,302070.8292,,,4,278790.8529,285975.0276,262793.3139,302070.8292,
7.869,901.5127,-,131864.2523,,,2,54536.72531,95395.94813,131864.2523,106487.7154,
7.872,733.54486,-,6199536.632,,,4,6199536.632,5562046.989,5786146.355,5580489.146,
7.872,659.50842,-,431125.3598,,,4,402764.1079,397112.3547,429511.7188,431125.3598,
7.874,575.49908,+,2886705.022,,,3,2683054.535,1641675.158,2886705.022,2295981.346,
7.875,868.60181,+,182562.8009,,,3,114472.5622,182562.8009,119228.4833,153066.444,
7.877,1022.65424,+,488315.8198,,,4,488315.8198,427824.6057,452279.9664,379888.7956,
7.878,1558.05737,-,439592.6748,,,4,439592.6748,354840.1103,418531.5764,381424.4685,
7.878,686.50623,+,121009.5608,,,3,104141.7712,121009.5608,100053.9263,105820.6655,
7.879,690.50122,+,4120468.637,PC 29:1,PC,4,4120468.637,3434449.564,3399292.766,3819547.597,
7.882,738.5368,+,280373.9468,PC O-34:4,Plasmenyl-PC,4,280373.9468,253987.0178,244800.5129,267232.0585,
7.885,883.5285,-,8.158501489E7,PI 18:1_20:4,PI,7,8.158501489E7,8.156384972E7,7.496400993E7,6.990365722E7,
7.885,1041.51538,-,327047.9111,,,4,306577.92,239901.8312,327047.9111,318553.1713,
7.886,800.57281,+,1167291.43,PC[OH] OH-36:3,PC[OH],4,1157304.884,645258.4599,698870.56,1167291.43,
7.886,832.61108,+,138698.2195,,,4,138698.2195,54929.45633,84723.26295,91429.76525,
7.888,668.46051,+,214249.6823,,,4,214249.6823,182166.4101,159213.0819,170426.3242,
7.891,774.5592,+,1321173.121,PC[OH] OH-34:2,PC[OH],3,1321173.121,639198.9661,962368.87,982058.3905,
7.893,1047.53174,-,227349.245,,,4,227349.245,183125.8679,181001.1134,202905.0918,
7.894,1123.51709,-,70046.14188,,,2,66549.51939,53580.68933,70046.14188,67847.19319,
7.896,797.52875,-,2298062.289,PG 18:1_20:3,PG,2,2298062.289,1923678.453,1671803.882,1920587.689,
7.896,864.64221,+,273404.2329,,,3,273404.2329,139495.9925,121255.0687,164358.1103,
7.898,733.59045,+,680635.8819,,,4,527419.3214,680635.8819,537963.0895,612646.8474,
7.898,1585.02185,-,136189.5439,,,4,109044.9124,122074.3276,111971.7452,136189.5439,
7.901,675.53864,+,5.172849551E7,SM d32:1,SM,4,5.172849551E7,4.946896818E7,4.678156677E7,4.976852967E7,
7.902,852.55408,+,1834197.147,PC 42:11,PC,5,1834197.147,1536913.96,1351103.911,1083167.021,
7.907,693.46606,-,338916.4048,PG 14:0_16:0,PG,4,338916.4048,337141.3796,322907.9263,306395.8923,
7.908,812.54907,+,985623.8086,,,5,985623.8086,142624.3912,226699.0166,368627.679,
7.908,475.29327,+,196137.0008,,,2,196137.0008,185774.3269,173896.4733,167429.2399,
7.909,759.51245,-,2658683.256,,,2,2520978.687,2186933.5,2658683.256,1088999.101,
7.91,943.59412,+,301474.7492,,,4,178542.6351,301474.7492,257795.0714,251994.7776,
7.911,363.32376,-,1085510.623,,,4,1085510.623,837402.53,942207.1696,894024.8126,
7.912,625.5144,+,1.750301804E7,Plasmenyl-DG P-18:1_20:5,Plasmenyl-DG,4,1.750301804E7,1.650547296E7,1.593245291E7,1.621570437E7,
7.912,589.40796,+,257620.0288,,,4,257620.0288,214886.3585,218001.0894,245823.835,
7.915,716.51892,-,242676.9205,,,4,242676.9205,142375.5864,180117.5581,158845.0635,
7.933,760.55365,+,5164977.453,PC[OH] OH-33:2,PC[OH],4,3725025.432,4849776.488,3802818.803,5164977.453,
7.935,702.50159,+,2.594898979E7,PC 14:1_16:1,PC,7,2.594898979E7,2.400493344E7,2.366560226E7,2.317489464E7,
7.936,662.5072,+,1895774.693,PC O-28:0,Plasmenyl-PC,4,1895774.693,1895689.149,1890434.954,1867735.325,
7.944,949.53882,-,92950.88412,,,3,72613.75626,75660.08319,92950.88412,92083.43026,
7.945,927.5307,-,419541.7833,,,7,419541.7833,298615.1792,319327.8863,309514.4069,
7.947,778.49695,-,199518.7931,,,4,145335.4383,176897.3456,168737.0425,199518.7931,
7.95,409.30777,-,1257358.637,,,4,1257358.637,1047276.037,1220109.002,1169273.317,
7.951,836.58435,+,5039306.831,PC[OH] OH-39:6,PC[OH],4,4335542.603,5039306.831,4487959.563,4991530.502,
7.956,778.5329,+,2.400703992E7,PC 16:1_20:5,PC,8,2.400703992E7,2.261209249E7,2.211102572E7,2.251920729E7,
7.962,867.53333,-,3466777.708,,,7,3466777.708,2665208.703,2957469.488,2777943.353,
7.964,599.37018,-,82837.1542,,,4,71876.01917,74837.87016,82837.1542,74095.95033,
7.965,506.53711,+,193408.5018,,,2,157745.7179,137503.3147,193408.5018,157880.959,
7.967,915.5152,-,261936.745,,,4,154528.6074,89790.30582,122402.2618,261936.745,
7.971,494.50003,+,125929.3369,,,3,123284.8582,122540.3377,105780.9005,125929.3369,
7.974,792.5498,-,51809.77162,,,2,39002.78642,45734.46087,51809.77162,18944.2241,
7.978,719.48224,-,3603184.615,PG 16:1_16:0,PG,4,3603184.615,2905494.875,3049549.551,2874932.503,
7.981,479.48959,+,203161.7048,,,2,179921.0841,203161.7048,199048.8174,175491.2451,
7.984,609.51892,+,628199.5326,,,4,622336.0731,588111.4907,595969.7734,628199.5326,
7.988,769.49695,-,1004844.129,PG 16:0_20:4,PG,3,881859.2067,823634.5443,1004844.129,932407.0348,
7.989,742.53485,-,222833.1796,PE 18:1_18:1,PE,4,222833.1796,132993.3418,220328.0355,207532.1851,
7.991,923.565,-,112958.3944,,,3,101910.8999,103984.9447,112958.3944,80750.43242,
7.992,549.48309,+,1748788.265,,,4,1522591.257,1746430.9,1748788.265,1439497.949,
7.992,835.52509,+,1537079.934,,,3,1537079.934,1193222.825,1108813.134,1258593.006,
7.992,637.51361,+,66446.76676,,,3,66218.48998,66446.76676,42870.90769,62544.54243,
7.996,893.5484,-,1155667.328,,,6,1155667.328,993834.1708,1134419.187,994604.9162,
7.998,847.54333,-,5958556.047,PG 20:2_22:5,PG,3,5164131.284,4473730.691,5958556.047,3777249.359,
7.998,846.53119,-,4520670.028,,,3,4520670.028,2519412.199,3143284.609,2995241.068,
7.999,1487.06897,-,89526.21317,,,4,72218.24258,82674.75636,89526.21317,86425.87723,
8.004,759.56061,-,1.235921887E7,,,4,1.211935794E7,1.199550383E7,1.235921887E7,1.135376774E7,
8.004,685.52374,-,835206.4222,,,4,829810.7164,740772.0744,826640.3748,835206.4222,
8.004,913.5744,-,715254.7602,,,4,689384.7969,641849.4421,715254.7602,698161.3894,
8.013,571.37463,-,273787.0398,,,4,257734.001,241300.3845,273787.0398,255205.5237,
8.019,745.49768,-,1.796850675E7,PG 16:1_18:1,PG,6,1.796850675E7,1.363946643E7,1.583182289E7,1.446943039E7,
8.023,635.53479,+,181951.4749,,,3,181951.4749,173060.1773,177152.9494,160706.1116,
8.03,728.51642,+,6.66359345E7,PC 32:3,PC,3,4.689951599E7,6.66359345E7,4.573935876E7,4.570694997E7,
8.031,854.56293,+,1.160059583E7,PC 42:10,PC,4,1.160059583E7,1.025083049E7,1.033249847E7,1.02688441E7,
8.031,786.56836,+,5862169.105,PC[OH] OH-35:3,PC[OH],4,5862169.105,5176365.936,4586483.516,5337133.96,
8.031,912.61578,+,2319700.053,PC[OH] OH-45:10,PC[OH],4,2319700.053,2299642.868,1951727.768,2137564.041,
8.033,759.60632,+,690933.7684,,,4,636808.6536,690933.7684,550636.8636,674462.842,
8.034,944.55731,-,356467.2058,,,4,356467.2058,141200.2004,269402.8355,229783.4456,
8.034,1437.05774,-,127236.1542,,,4,116815.1093,127236.1542,115204.1353,112650.6114,
8.035,701.55438,+,5.245009665E7,SM d34:2,SM,4,5.245009665E7,4.614155889E7,4.657380651E7,4.600827119E7,
8.036,862.59949,+,5959564.621,PC[OH] OH-41:7,PC[OH],6,5959564.621,5929550.157,5013508.216,5477741.891,
8.038,785.52856,-,2483066.399,,,2,2483066.399,2054946.427,2293874.67,1517659.087,
8.039,575.49908,+,6004138.975,,,4,6004138.975,5817694.904,5303786.656,5181919.337,
8.042,1422.99316,-,78332.24865,,,3,52516.08567,72245.40935,78332.24865,77969.67714,
8.056,804.54767,+,3.957072754E7,PC 38:7,PC,4,3.957072754E7,3.556840771E7,3.725400719E7,3.672122936E7,
8.057,1496.00476,-,92552.35176,,,3,92552.35176,77549.12356,91876.89618,83306.5742,
8.058,1540.04517,-,130440.6841,,,4,90787.65879,130440.6841,127582.3126,115351.2636,
8.059,938.63037,+,428056.4345,PC[OH] OH-47:11,PC[OH],4,384402.5635,428056.4345,393529.2513,398186.5883,
8.063,625.5144,+,3683812.837,Plasmenyl-DG P-18:1_20:5,Plasmenyl-DG,4,3683812.837,3334717.658,3466420.321,3340054.157,
8.063,812.58447,+,1066576.191,PC[OH] OH-37:4,PC[OH],4,970156.4936,609122.1806,896361.4648,1066576.191,
8.065,673.49951,-,174688.0123,,,4,174688.0123,146863.7347,170813.6021,168261.764,
8.066,880.57733,+,2592135.564,PC 22:6_22:5,PC,8,2539370.47,2467913.726,2592135.564,2551686.904,
8.067,736.50867,-,1.345372706E7,PC 14:0_14:0,PC,4,1.345372706E7,1.216203039E7,1.32174017E7,1.257906894E7,
8.067,894.49609,-,139644.2865,,,4,132596.7999,107567.1783,139644.2865,128890.8321,
8.068,750.49805,+,3146458.187,PC 34:6,PC,3,2968841.323,2316788.74,3146458.187,2696834.344,
8.07,804.60272,+,1207705.956,,,2,1207705.956,1123299.231,1195090.975,1163488.136,
8.071,595.09717,-,395907.148,,,2,395907.148,3874.180234,113475.4076,73587.65233,
8.074,524.42816,-,80378.92419,,,3,77480.40827,58599.34744,80378.92419,68378.62421,
8.076,734.49103,+,3556099.375,,,4,2624312.604,3556099.375,2421154.962,2765366.426,
8.076,808.56506,-,97422.35913,,,3,66707.58554,88716.48662,97422.35913,90367.07499,
8.077,690.50122,+,988630.731,PC 29:1,PC,3,988630.731,456765.5928,878376.4441,910595.9352,
8.089,389.33929,-,152056.3969,,,3,152056.3969,117321.5762,133541.5249,124661.4222,
8.092,445.36545,-,146885.5761,,,3,146885.5761,111461.0741,125601.7993,125494.0506,
8.093,736.55389,+,6797743.301,PC[OH] OH-31:0,PC[OH],4,6478257.856,6797743.301,6122410.381,6612553.831,
8.096,678.50195,+,8.290933954E7,PC 28:0,PC,4,8.290933954E7,7.59734865E7,7.442154902E7,7.728729749E7,
8.098,700.48322,+,6044141.722,PC 30:3,PC,4,6044141.722,4200463.266,4841735.804,4857282.273,
8.1,657.49329,-,196590.5162,,,4,196590.5162,154821.6636,195755.9897,160654.8858,
8.114,750.55835,+,657261.5799,PC[OH] OH-32:0,PC[OH],4,481131.3913,595336.3783,635305.7449,657261.5799,
8.118,796.50812,-,1954082.509,,,3,1954082.509,1718670.291,1860912.09,1161133.124,
8.119,429.3689,+,293303.7991,,,2,228861.9211,250891.7759,268295.5601,293303.7991,
8.12,734.47223,-,1772594.199,PE 36:6,PE,4,1772594.199,764746.7572,1046867.045,860444.5312,
8.122,324.28818,-,204245.6339,,,4,204245.6339,172861.4264,190027.5717,176581.6729,
8.125,760.5061,+,3506996.326,,,4,2990339.202,3016921.922,3059305.772,3506996.326,
8.134,716.51672,+,6067363.835,PC 31:2,PC,2,6067363.835,3859327.676,4405872.77,5791900.588,
8.15,762.52429,-,1.851428004E7,PC 14:0_16:1,PC,4,8950273.67,1.851428004E7,1.777106773E7,1.488291642E7,
8.156,904.52606,-,77658.98384,,,2,66002.54155,68089.94282,77658.98384,53272.98904,
8.158,684.45691,-,421540.1759,,,4,421540.1759,363220.4027,247012.949,175137.669,
8.159,822.52344,-,4462727.958,,,5,4032158.913,3998674.454,4462727.958,4331140.665,
8.162,811.54419,-,6903597.222,,,2,4622042.621,6339922.698,6903597.222,5534828.655,
8.162,1516.047,-,237357.4186,,,4,214664.0546,177705.4876,237357.4186,206886.8447,
8.163,771.51245,-,7078590.206,PG 18:2_18:1,PG,4,5640884.169,4523651.689,4067934.504,7078590.206,
8.163,843.53369,-,3112898.932,,,7,3112898.932,1958295.96,2419171.49,1948183.381,
8.169,812.51764,+,1204766.232,PE 42:10,PE,3,1078400.427,1204766.232,981527.3522,1131881.412,
