MS2 ID,Retention Time (min),Rank,Identification,Precursor Mass,Library Mass,Delta m/z,Dot Product,Reverse Dot Product,Purity,Spectral Components,Optimal Polarity,LipiDex Spectrum,Library,Potential Fragments
43,0.537,1,LysoPG 22:6 [M-H]-;,555.269,555.2723,-5.943,818,996,100,LysoPG 22:6 [M-H]-(100),true,true,Coon_Lab_HCD_Acetate_20171009.msp,152.9958 | 327.233 | 
61,0.554,1,LysoPI 20:4 [M-H]-;,619.285,619.2883,-5.3287,464,783,100,LysoPI 20:4 [M-H]-(100),true,true,Coon_Lab_HCD_Acetate_20171009.msp,78.9591 | 152.9958 | 171.0064 | 223.0013 | 241.0119 | 303.233 | 315.0487 | 333.0619 | 
200,0.782,1,LysoPE 12:0 [M-H]-;,396.213,396.2151,-5.3002,978,1000,100,LysoPE 12:0 [M-H]-(100),true,true,Coon_Lab_HCD_Acetate_20171009.msp,78.9591 | 140.0118 | 196.038 | 199.1704 | 214.0486 | 
209,0.8,1,LysoPI 16:1 [M-H]-;,569.269,569.2727,-6.4995,458,855,100,LysoPI 16:1 [M-H]-(100),true,true,Coon_Lab_HCD_Acetate_20171009.msp,78.9591 | 152.9958 | 171.0064 | 223.0013 | 241.0119 | 253.2173 | 315.0487 | 333.0619 | 
220,0.837,1,LysoPE 14:1 [M-H]-;,422.228,422.2308,-6.6314,988,1000,100,LysoPE 14:1 [M-H]-(100),true,true,Coon_Lab_HCD_Acetate_20171009.msp,78.9591 | 140.0118 | 196.038 | 214.0486 | 225.186 | 
221,0.837,1,LysoPC 14:1 [M+Ac-H]-;,524.296,524.2988,-5.3405,813,914,100,LysoPC 14:1 [M+Ac-H]-(100),true,true,Coon_Lab_HCD_Acetate_20171009.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 225.186 | 241.0721 | 450.2626 | 
222,0.838,1,LysoPI 20:4 [M-H]-;,619.285,619.2883,-5.3287,14,1000,0,,true,true,Coon_Lab_HCD_Acetate_20171009.msp,78.9591 | 152.9958 | 171.0064 | 223.0013 | 241.0119 | 303.233 | 315.0487 | 333.0619 | 
225,0.847,1,LysoPI 22:6 [M-H]-;,643.285,643.2883,-5.1299,568,607,100,LysoPI 22:6 [M-H]-(100),true,true,Coon_Lab_HCD_Acetate_20171009.msp,78.9591 | 152.9958 | 171.0064 | 223.0013 | 241.0119 | 315.0487 | 327.233 | 333.0619 | 
252,0.877,1,LysoPI 18:2 [M-H]-;,595.284,595.2883,-7.2234,510,802,100,LysoPI 18:2 [M-H]-(100),true,true,Coon_Lab_HCD_Acetate_20171009.msp,78.9591 | 152.9958 | 171.0064 | 223.0013 | 241.0119 | 279.233 | 315.0487 | 333.0619 | 
288,0.92,1,LysoPG 16:1 [M-H]-;,481.253,481.2566,-7.4804,523,524,100,LysoPG 16:1 [M-H]-(100),true,true,Coon_Lab_HCD_Acetate_20171009.msp,152.9958 | 253.2173 | 
293,0.927,1,LysoPG 22:6 [M-H]-;,555.269,555.2723,-5.943,851,998,100,LysoPG 22:6 [M-H]-(100),true,true,Coon_Lab_HCD_Acetate_20171009.msp,152.9958 | 327.233 | 
320,0.963,1,LysoPC 15:1 [M+Ac-H]-;,538.311,538.3145,-6.5018,813,1000,100,LysoPC 15:1 [M+Ac-H]-(100),true,true,Coon_Lab_HCD_Acetate_20171009.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 239.2017 | 241.0721 | 464.2783 | 
325,0.973,1,LysoPI 20:3 [M-H]-;,621.3,621.304,-6.4381,820,921,100,LysoPI 20:3 [M-H]-(100),true,true,Coon_Lab_HCD_Acetate_20171009.msp,78.9591 | 152.9958 | 171.0064 | 223.0013 | 241.0119 | 305.2486 | 315.0487 | 333.0619 | 
326,0.974,1,LysoPG 20:4 [M-H]-;,531.268,531.2723,-8.0938,862,1000,100,LysoPG 20:4 [M-H]-(100),true,true,Coon_Lab_HCD_Acetate_20171009.msp,152.9958 | 303.233 | 
332,0.982,1,LysoPE 20:5 [M-H]-;,498.259,498.2621,-6.2216,983,996,100,LysoPE 20:5 [M-H]-(100),true,true,Coon_Lab_HCD_Acetate_20171009.msp,78.9591 | 140.0118 | 196.038 | 214.0486 | 257.2275 | 301.2173 | 
343,0.996,1,LysoPI 16:0 [M-H]-;,571.286,571.2883,-4.026,187,1000,0,,true,true,Coon_Lab_HCD_Acetate_20171009.msp,78.9591 | 152.9958 | 171.0064 | 223.0013 | 241.0119 | 255.233 | 315.0487 | 333.0619 | 
351,1.009,1,LysoPC 14:0 [M+Ac-H]-;,526.311,526.3145,-6.65,296,1000,100,LysoPC 14:0 [M+Ac-H]-(100),true,true,Coon_Lab_HCD_Acetate_20171009.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 227.2017 | 241.0721 | 452.2783 | 
352,1.01,1,LysoPE 14:0 [M-H]-;,424.243,424.2464,-8.0142,996,997,100,LysoPE 14:0 [M-H]-(100),true,true,Coon_Lab_HCD_Acetate_20171009.msp,78.9591 | 140.0118 | 196.038 | 214.0486 | 227.2017 | 
