Retention Time (min),Quant Ion,Polarity,Area (max),Identification,Lipid Class,Features Found,Filter Status,Yeast_PS.raw (F1),JAS_Blank_Neg.raw (F2),JAS_Blank_Pos.raw (F3),Yeast_Neg_1.raw (F4),Yeast_Neg_2.raw (F5),Yeast_Neg_3.raw (F6),Yeast_Pos_1.raw (F7),Yeast_Pos_2.raw (F8),Yeast_Pos_3.raw (F9),
0.593,549.07379,-,89712.60093,,,3,,89712.60093,451.1109013,0.0,10375.48345,9826.081534,18948.11554,0.0,0.0,0.0,
0.596,476.30573,+,357577.6,,,2,,357577.6,0.0,26917.63874,0.0,0.0,0.0,166184.444,126952.2976,134200.0394,
0.597,415.25375,+,112803.64,,,2,,112803.64,0.0,10455.75598,0.0,0.0,0.0,39330.80656,29595.8026,42477.51182,
0.599,393.15463,-,52856.43811,,,3,,38242.86024,317.3936927,0.0,49593.57292,51661.23211,52856.43811,0.0,0.0,0.0,
0.599,600.38867,-,42342.30927,,,2,Adduct of existing peak,25817.98479,393.1848403,0.0,42342.30927,27653.71339,30238.00135,0.0,0.0,0.0,
0.6,471.1557,-,108158.2956,,,3,,64618.90842,285.8365155,0.0,108158.2956,99822.79287,101187.2989,0.0,0.0,0.0,
0.603,424.17926,+,100892.3001,,,2,,100892.3001,0.0,2542.605149,0.0,0.0,0.0,55087.62608,62139.85497,44144.03063,
0.606,306.07568,-,247073.0974,,,5,,247073.0974,607.9394179,1384.611899,96253.51242,123611.7417,131462.8055,3801.764879,2802.319081,2874.651758,
0.606,459.17746,+,25937.17896,,,3,Adduct of existing peak,25937.17896,0.0,563.2760107,0.0,0.0,0.0,19270.03275,23762.74465,22194.88386,
0.606,499.23615,+,20204.00388,,,2,Adduct of existing peak,15085.25478,0.0,467.7794958,0.0,0.0,0.0,8351.012928,20204.00388,19649.71368,
0.607,476.12555,+,265394.67,,,3,Adduct of existing peak,265394.67,0.0,547.7957159,0.0,0.0,0.0,145682.4573,232622.9964,208522.1068,
0.61,759.26917,+,97370.67404,,,5,Dimer,97370.67404,697.5364742,813.9473335,28178.91413,19156.30952,28269.59881,29671.30987,42626.32777,19683.75346,
0.611,647.5321,+,27689.42184,,,3,,27689.42184,0.0,747.6785933,0.0,0.0,0.0,16239.07443,16127.72569,14325.87444,
0.612,512.20587,+,84644.58213,,,4,,84644.58213,0.0,1359.71753,0.0,0.0,0.0,70712.59206,70762.93664,62348.36096,
0.614,397.1152,-,42737.48986,,,2,Adduct of existing peak,23826.49351,252.0532075,0.0,37026.1495,42737.48986,35632.36665,0.0,0.0,0.0,
0.616,494.21933,-,21120.22498,,,2,Adduct of existing peak,11948.26607,234.2305566,0.0,16786.98012,21120.22498,14240.70877,0.0,0.0,0.0,
0.619,732.14063,-,17158.91585,,,2,Adduct of existing peak,16555.51,356.3914484,0.0,11441.69136,14679.44012,17158.91585,0.0,0.0,0.0,
0.622,486.20148,-,123479.4297,,,3,,86678.48226,324.5427204,0.0,113421.5674,123479.4297,100652.1792,0.0,0.0,0.0,
0.623,473.1463,+,224278.6314,,,2,,222542.1047,0.0,859.1884718,0.0,0.0,0.0,224278.6314,94064.98583,120986.7815,
0.624,380.11209,-,81953.4139,,,3,Adduct of existing peak,50858.92638,653.1394019,0.0,77992.87558,81248.79175,81953.4139,0.0,0.0,0.0,
0.625,656.27588,+,111409.3079,,,8,,111409.3079,360.1645959,3796.433926,29026.03031,30830.7497,28166.99852,66292.27314,65537.52035,68034.15328,
0.631,642.2594,+,206449.9367,,,5,,206449.9367,790.8458876,3143.215515,56142.47611,59848.69743,64297.59463,45913.43518,61592.94442,72918.79547,
0.631,662.33447,+,37462.48067,,,3,,37462.48067,0.0,162.8904557,0.0,0.0,0.0,19822.74849,30032.79358,30133.56056,
0.642,642.23621,+,33925.73549,,,2,,33925.73549,0.0,179.990402,0.0,0.0,0.0,28574.67956,30966.12188,28372.52756,
0.65,550.16272,+,42130.36502,,,3,,42130.36502,0.0,184.1116195,0.0,0.0,0.0,29312.57395,40100.95638,30808.71309,
0.652,698.1795,+,131223.9127,,,7,,131223.9127,370.9482285,232.0596983,18700.70317,21131.84034,21288.19439,74729.24879,77815.63427,89578.02685,
0.653,421.1839,+,110337.9227,,,2,,110337.9227,0.0,3027.378964,0.0,0.0,0.0,16611.3306,12393.22764,17108.85994,
0.653,534.18866,+,19597.88216,,,2,Adduct of existing peak,18194.89701,0.0,228.0254286,0.0,0.0,0.0,14705.38706,19597.88216,12917.79866,
0.663,597.23779,-,31847.17165,,,4,,31847.17165,149.6694738,0.0,30977.56876,19594.88164,28332.24901,0.0,0.0,0.0,
0.664,269.13043,-,162444.0902,,,4,,151946.7091,420.8175894,0.0,159473.0207,162444.0902,144441.5639,0.0,0.0,0.0,
0.665,422.22888,-,22257.59178,,,2,,12676.59246,3976.544753,0.0,8572.998431,22257.59178,14109.8672,0.0,0.0,0.0,
0.666,481.39999,+,36720.08914,,,4,,36720.08914,0.0,1245.678908,0.0,0.0,0.0,30799.77339,33440.2117,32459.43554,
0.667,450.15192,-,831379.5777,,,2,,230969.8038,116.5860535,0.0,831379.5777,348933.1006,678869.0032,0.0,0.0,0.0,
0.667,617.5235,+,12261.64336,,,3,,12261.64336,0.0,97.07400375,0.0,0.0,0.0,11581.36288,12174.059,11812.31591,
0.669,452.1846,+,1800338.592,,,5,,1800338.592,97.74723036,1470.68722,10545.24541,13682.02771,9236.103221,972498.9146,991338.3223,953803.0583,
