MS2 ID,Retention Time (min),Rank,Identification,Precursor Mass,Library Mass,Delta m/z,Dot Product,Reverse Dot Product,Purity,Spectral Components,Optimal Polarity,LipiDex Spectrum,Library,Potential Fragments
143,0.588,1,Ether-PC O-16:0_22:6 [M+H]+;,792.595,792.5907,5.4252,14,1000,0,,false,true,Coon_Lab_HCD_Acetate_20171009.msp,184.0733 | 
167,0.679,1,LysoPC 10:0 [M+H]+;,412.246,412.2464,-0.9703,883,891,0,,true,true,Coon_Lab_HCD_Acetate_20171009.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
186,0.755,1,LysoPC 12:0 [M+H]+;,440.278,440.2777,0.6814,722,737,0,,true,true,Coon_Lab_HCD_Acetate_20171009.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
204,0.828,1,LysoPC 14:1 [M+H]+;,466.293,466.2934,-0.8578,731,746,0,,true,true,Coon_Lab_HCD_Acetate_20171009.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
252,0.999,1,LysoPC 14:0 [M+H]+;,468.308,468.309,-2.1353,723,737,0,,true,true,Coon_Lab_HCD_Acetate_20171009.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
271,1.07,1,LysoPC 16:1 [M+H]+;,494.323,494.3247,-3.439,729,732,0,,true,true,Coon_Lab_HCD_Acetate_20171009.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
277,1.092,1,LysoPE 16:1 [M+H]+;,452.276,452.2777,-3.7588,811,993,0,,false,true,Coon_Lab_HCD_Acetate_20171009.msp,311.2581 | 434.2666 | 
290,1.142,1,LysoPC 14:0 [M+H]+;,468.308,468.309,-2.1353,964,987,0,,true,true,Coon_Lab_HCD_Acetate_20171009.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
306,1.199,1,LysoPE 20:4 [M+H]+;,502.291,502.2934,-4.7781,763,1000,0,,false,true,Coon_Lab_HCD_Acetate_20171009.msp,361.2737 | 484.2823 | 
309,1.209,1,LysoPC 16:1 [M+H]+;,494.323,494.3247,-3.439,979,990,0,,true,true,Coon_Lab_HCD_Acetate_20171009.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
314,1.227,1,LysoPE 16:1 [M+H]+;,452.276,452.2777,-3.7588,993,994,0,,false,true,Coon_Lab_HCD_Acetate_20171009.msp,311.2581 | 434.2666 | 
315,1.231,1,LysoPC 18:4 [M+H]+;,516.305,516.309,-7.7473,58,995,0,,true,true,Coon_Lab_HCD_Acetate_20171009.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
322,1.256,1,LysoPC 20:4 [M+H]+;,544.339,544.3403,-2.3882,732,747,0,,true,true,Coon_Lab_HCD_Acetate_20171009.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
