MS2 ID,Retention Time (min),Rank,Identification,Precursor Mass,Library Mass,Delta m/z,Dot Product,Reverse Dot Product,Purity,Spectral Components,Optimal Polarity,LipiDex Spectrum,Library,Potential Fragments
154,0.623,1,LysoPI 10:0 [M-H]-;,487.198,487.1944,7.3892,12,948,100,LysoPI 10:0 [M-H]-(100),true,true,Coon_Lab_HCD_Acetate_20171009.msp,78.9591 | 152.9958 | 171.0064 | 171.1391 | 223.0013 | 241.0119 | 315.0487 | 333.0619 | 
169,0.676,1,LysoPI 12:0 [M-H]-;,515.227,515.2257,2.5232,921,975,100,LysoPI 12:0 [M-H]-(100),true,true,Coon_Lab_HCD_Acetate_20171009.msp,78.9591 | 152.9958 | 171.0064 | 199.1704 | 223.0013 | 241.0119 | 315.0487 | 333.0619 | 
177,0.708,1,LysoPC 10:0 [M+Ac-H]-;,470.251,470.2519,-1.9139,945,963,100,LysoPC 10:0 [M+Ac-H]-(100),true,true,Coon_Lab_HCD_Acetate_20171009.msp,59.0139 | 78.9591 | 152.9958 | 171.1391 | 224.0693 | 241.0721 | 396.2157 | 
193,0.77,1,LysoPC 12:0 [M+Ac-H]-;,498.283,498.2832,-0.4014,910,911,100,LysoPC 12:0 [M+Ac-H]-(100),true,true,Coon_Lab_HCD_Acetate_20171009.msp,59.0139 | 78.9591 | 152.9958 | 199.1704 | 224.0693 | 241.0721 | 424.247 | 
197,0.785,1,LysoPI 16:1 [M-H]-;,569.272,569.2727,-1.2296,866,866,100,LysoPI 16:1 [M-H]-(100),true,true,Coon_Lab_HCD_Acetate_20171009.msp,78.9591 | 152.9958 | 171.0064 | 223.0013 | 241.0119 | 253.2173 | 315.0487 | 333.0619 | 
203,0.807,1,LysoPI 14:0 [M-H]-;,543.256,543.257,-1.8407,811,888,100,LysoPI 14:0 [M-H]-(100),true,true,Coon_Lab_HCD_Acetate_20171009.msp,78.9591 | 152.9958 | 171.0064 | 223.0013 | 227.2017 | 241.0119 | 315.0487 | 333.0619 | 
210,0.833,1,LysoPC 14:1 [M+Ac-H]-;,524.298,524.2988,-1.5258,943,944,100,LysoPC 14:1 [M+Ac-H]-(100),true,true,Coon_Lab_HCD_Acetate_20171009.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 225.186 | 241.0721 | 450.2626 | 
248,0.973,1,LysoPI 16:0 [M-H]-;,571.291,571.2883,4.7262,252,796,100,LysoPI 16:0 [M-H]-(100),true,true,Coon_Lab_HCD_Acetate_20171009.msp,78.9591 | 152.9958 | 171.0064 | 223.0013 | 241.0119 | 255.233 | 315.0487 | 333.0619 | 
262,1.027,1,LysoPI 18:1 [M-H]-;,597.304,597.304,0.0,873,873,100,LysoPI 18:1 [M-H]-(100),true,true,Coon_Lab_HCD_Acetate_20171009.msp,78.9591 | 152.9958 | 171.0064 | 223.0013 | 241.0119 | 281.2486 | 315.0487 | 333.0619 | 
269,1.052,1,LysoPC 14:0 [M+Ac-H]-;,526.314,526.3145,-0.95,655,656,100,LysoPC 14:0 [M+Ac-H]-(100),true,true,Coon_Lab_HCD_Acetate_20171009.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 227.2017 | 241.0721 | 452.2783 | 
