Checked,Ion,Charge,Molecular Weight,m/z,RT [min],FWHM [min],# MI,Area,Parent Area [%],Study File ID
FALSE,[M+H]+1,1,895.76348,896.77075,15.836,0.136,2,43014.81855,100,F9
FALSE,[M-H]-1,-1,912.45039,911.44312,6.896,0.059,2,43012.26098,100,F5
FALSE,[M-H]-1,-1,841.66035,840.65308,13.174,0.095,3,43012.19573,100,F4
FALSE,[M-H]-1,-1,819.49483,818.48755,7.439,0.05,2,43006.74066,100,F4
FALSE,[M-H]-1,-1,1045.57197,1044.5647,9.631,0.122,2,42990.87463,100,F1
FALSE,[M-H]-1,-1,378.31218,377.3049,6.678,0.06,2,42977.6199,100,F6
FALSE,[M+Na]+1,1,424.29706,447.28629,6.361,0.078,2,42929.61349,56.217,F7
FALSE,[M+H]+1,1,606.55589,607.56317,19.354,0.154,3,42926.81012,100,F8
FALSE,[M+H]+1,1,699.30773,700.315,6.155,0.086,3,42914.72389,100,F1
FALSE,[M-H]-1,-1,932.59926,931.59198,7.863,0.049,2,42900.41403,100,F4
FALSE,[M+H]+1,1,809.59026,810.59753,9.335,0.124,2,42886.47902,100,F9
FALSE,[M+H]+1,1,944.58452,945.5918,1.179,0.06,3,42878.9942,61.516,F8
FALSE,[M+H]+1,1,726.59215,727.59943,13.415,0.101,3,42878.68741,100,F7
FALSE,[M+H]+1,1,730.53044,731.53772,12.615,0.086,3,42872.58379,100,F7
FALSE,[M+H]+1,1,1066.76921,1067.77649,18.66,0.101,3,42865.10487,100,F8
FALSE,[M+H]+1,1,1049.58293,1050.59021,10.593,0.089,2,42857.99665,100,F7
FALSE,[M+H]+1,1,1015.69676,1016.70404,17.949,0.116,2,42855.5797,100,F8
FALSE,[M-H]-1,-1,857.6385,856.63123,13.481,0.112,3,42854.38015,100,F1
FALSE,[M+H]+1,1,612.65349,613.66077,11.201,0.142,3,42816.70064,100,F1
FALSE,[M+H]+1,1,725.65428,726.66156,15.112,0.106,3,42812.90092,100,F1
FALSE,[M+H]+1,1,762.49193,763.49921,13.485,0.11,3,42809.92252,100,F7
FALSE,[M-H]-1,-1,750.50282,749.49554,0.924,0.091,2,42798.20069,100,F2
FALSE,[M-H]-1,-1,875.66139,874.65411,11.595,0.112,3,42794.19224,100,F4
FALSE,[M+H]+1,1,646.52623,647.53351,2.114,0.088,3,42787.66449,100,F1
FALSE,[M-H]-1,-1,779.71083,778.70355,14.34,0.128,3,42783.92754,100,F6
FALSE,[M+H]+1,1,790.45836,791.46564,11.522,0.112,4,42775.9139,100,F9
FALSE,[M+H]+1,1,930.71892,931.7262,15.291,0.081,3,42771.2917,100,F8
FALSE,[M+H]+1,1,766.62248,767.62976,14.515,0.093,2,42762.21411,100,F1
FALSE,[M-H]-1,-1,1092.58052,1091.57324,7.002,0.046,2,42758.9399,100,F4
FALSE,[M-H]-1,-1,710.43812,709.43085,7.831,0.075,2,42757.36735,100,F6
FALSE,[M+H]+1,1,1023.49016,1024.49744,6.337,0.094,3,42747.59379,100,F8
FALSE,[M+H]+1,1,679.40569,680.41296,1.704,0.154,3,42728.95356,100,F9
FALSE,[M+H]+1,1,428.08156,429.08884,10.3,0.081,4,42716.48533,100,F3
FALSE,[M+H]+1,1,771.43279,772.44006,9.002,0.075,2,42708.2354,100,F7
FALSE,[M+H]+1,1,584.35045,585.35773,6.727,0.05,3,42707.00517,100,F9
FALSE,[M-H]-1,-1,1429.0013,1427.99402,15.755,0.135,3,42690.29507,100,F6
FALSE,[M+H]+1,1,636.24816,637.25543,6.277,0.067,4,42685.72487,100,F9
FALSE,[M-H]-1,-1,1387.98115,1386.97388,8.997,0.081,2,42669.04609,100,F5
FALSE,[M-H]-1,-1,490.34956,489.34229,5.635,0.135,2,42662.42897,100,F5
FALSE,[M-H]-1,-1,1173.69392,1172.68665,7.547,0.053,3,42654.32632,100,F6
FALSE,[M-H]-1,-1,635.33937,634.33209,1.178,0.103,2,42652.47278,100,F5
FALSE,[M-H]-1,-1,1046.48396,1045.47668,7.102,0.043,2,42648.75094,100,F6
FALSE,[M+H]+1,1,943.53301,944.54028,10.597,0.102,3,42637.43617,100,F9
FALSE,[M+H]+1,1,643.53844,644.54572,9.158,0.074,2,42633.73177,100,F8
FALSE,[M+H]+1,1,501.45156,502.45883,5.244,0.096,3,42633.54013,100,F9
FALSE,[M+H]+1,1,1007.30187,1008.30914,13.723,0.08,5,42631.27454,100,F9
FALSE,[M+H]+1,1,502.30321,503.31049,0.982,0.093,2,42627.38532,100,F8
FALSE,[M+H]+1,1,958.68804,959.69531,15.52,0.098,2,42627.0521,100,F7
FALSE,[M+H]+1,1,912.75591,913.76318,19.082,0.151,4,42617.07929,100,F8
FALSE,[M-H]-1,-1,777.66109,776.65381,13.679,0.1,4,42614.69875,100,F5
FALSE,[M+H]+1,1,635.49144,636.49872,9.367,0.064,3,42614.51513,100,F9
FALSE,[M+H]+1,1,414.24648,415.25375,0.595,0.044,2,42610.35168,100,F9
FALSE,[M+H]+1,1,723.63982,724.64709,14.157,0.1,3,42590.5178,100,F7
FALSE,[M+H]+1,1,634.49498,635.50226,12.406,0.136,4,42587.11164,100,F3
FALSE,[M+H]+1,1,841.51567,842.52295,9.894,0.096,2,42584.62181,45.099,F9
FALSE,[M-H]-1,-1,1117.26851,1116.26123,10.168,0.074,5,42567.46668,100,F5
FALSE,[M+H]+1,1,855.7163,856.72357,15.316,0.09,2,42556.04339,100,F3
FALSE,[M+H]+1,1,933.87334,934.88062,17.974,0.106,2,42542.16543,100,F9
FALSE,[M+Na]+1,1,479.3021,502.29132,1.806,0.082,2,42539.08427,9.794,F8
FALSE,[M+H]+1,1,653.59697,654.60425,10.399,0.142,3,42507.32227,100,F7
FALSE,[M-H]-1,-1,570.37044,569.36316,9.509,0.073,3,42506.23208,100,F4
FALSE,[M-H]-1,-1,945.73854,944.73126,14.129,0.124,3,42502.49105,100,F6
FALSE,[M+H]+1,1,895.74681,896.75409,15.239,0.081,2,42501.987,100,F8
FALSE,[M+H]+1,1,718.48424,719.49152,9.25,0.064,3,42494.88224,100,F8
FALSE,[M-H]-1,-1,1422.95125,1421.94397,15.086,0.126,4,42484.12351,100,F5
FALSE,[M+H]+1,1,581.42784,582.43512,7.261,0.053,2,42479.68341,100,F1
FALSE,[M+H]+1,1,774.44701,775.45428,12.435,0.147,2,42477.98131,100,F9
FALSE,[M-H]-1,-1,917.545,916.53772,8.828,0.084,2,42470.63089,100,F5
FALSE,[M+H]+1,1,646.53191,647.53918,11.77,0.088,3,42464.96301,100,F9
FALSE,[M+H]+1,1,900.71721,901.72449,15.848,0.152,2,42460.44806,100,F1
FALSE,[M+H]+1,1,476.4377,477.44498,15.309,0.103,2,42442.09117,100,F1
FALSE,[M+H]+1,1,752.64385,753.65112,14.271,0.118,3,42440.22263,100,F8
FALSE,[M+H]+1,1,376.31221,377.31949,13.684,0.117,2,42435.05926,100,F1
FALSE,[M-H]-1,-1,640.57435,639.56708,9.773,0.119,2,42428.72395,100,F4
FALSE,[M-H]-1,-1,1097.46272,1096.45544,7.784,0.107,2,42426.40215,100,F5
FALSE,[M+H]+1,1,723.59563,724.60291,9.78,0.058,2,42426.11562,100,F8
FALSE,[M-H]-1,-1,875.58497,874.5777,9.564,0.071,2,42422.08729,100,F5
FALSE,[M+H]+1,1,672.5255,673.53278,16.892,0.145,3,42421.84585,100,F7
FALSE,[M-H]-1,-1,731.545,730.53772,10.325,0.09,3,42403.66934,100,F5
FALSE,[M+H]+1,1,811.53478,812.54205,8.462,0.122,3,42400.9967,100,F9
FALSE,[M-H]-1,-1,841.65968,840.6524,13.168,0.09,4,42389.09399,100,F5
FALSE,[M-H]-1,-1,699.66365,698.65637,13.477,0.095,2,42386.55573,100,F5
FALSE,[M+H]+1,1,605.3698,606.37708,2.226,0.192,2,42373.8127,100,F1
FALSE,[M+H]+1,1,718.5056,719.51288,11.531,0.127,2,42369.6541,100,F8
FALSE,[M-H]-1,-1,516.23305,515.22577,0.682,0.057,2,42365.12755,100,F6
FALSE,[M+H]+1,1,520.44927,521.45654,7.535,0.153,2,42359.19716,100,F1
FALSE,[M+H]+1,1,959.8839,960.89117,17.954,0.094,2,42344.89458,100,F8
FALSE,[M+H]+1,1,852.6765,853.68378,13.863,0.088,3,42342.54164,100,F7
FALSE,[M-H]-1,-1,985.5533,984.54602,10.824,0.086,3,42340.2108,100,F1
FALSE,[M-H]-1,-1,880.80842,879.80115,13.492,0.166,2,42327.66066,100,F6
FALSE,[M-H]-1,-1,1463.01533,1462.00806,7.961,0.093,2,42312.85827,100,F6
FALSE,[M-H]-1,-1,1052.50093,1051.49365,7.085,0.043,2,42291.79546,100,F4
FALSE,[M-H]-1,-1,753.68495,752.67767,13.328,0.115,3,42282.90862,100,F5
FALSE,[M-H]-1,-1,1172.75068,1171.74341,8.709,0.066,2,42272.46718,100,F5
FALSE,[M+H]+1,1,1066.76909,1067.77637,18.675,0.098,3,42269.07532,100,F9
FALSE,[M-H]-1,-1,1158.53462,1157.52734,8.323,0.078,2,42260.21268,100,F4
FALSE,[M+H]+1,1,843.19945,844.20673,6.621,0.066,3,42259.79455,100,F8
FALSE,[M-H]-1,-1,1560.95344,1559.94617,8.168,0.076,2,42257.65416,100,F5
FALSE,[M+H]+1,1,520.88713,521.89441,8.297,0.136,2,42244.17547,100,F9
FALSE,[M+H]+1,1,327.31325,328.32053,5.527,0.126,3,42241.70245,100,F1
