Retention Time (min),Quant Ion,Polarity,Area (max),Identification,Lipid Class,Features Found,Yeast_PS.raw (F1),JAS_Blank_Neg.raw (F2),JAS_Blank_Pos.raw (F3),Yeast_Neg_1.raw (F4)+Yeast_Pos_1.raw (F7),Yeast_Neg_2.raw (F5)+Yeast_Pos_2.raw (F8),Yeast_Neg_3.raw (F6)+Yeast_Pos_3.raw (F9),
6.317,530.25397,-,56695.10959,,,3,548.222927,180.2681673,0.0,56695.10959,13856.12277,35607.96648,
6.318,894.17102,-,44750.69966,,,3,683.6012301,212.3893257,0.0,44750.69966,8379.653757,19011.251,
6.324,772.15149,+,646589.5001,,,3,2687.42832,0.0,1227.378104,646589.5001,537697.9393,481489.3948,
6.326,776.1803,+,489214.4866,,,3,2912.4834,0.0,1380.85795,489214.4866,221428.9427,195944.1649,
6.326,451.31796,+,250170.8716,,,4,250170.8716,0.0,189.397712,120433.6107,144393.154,149711.1305,
6.326,868.50446,+,23397.53411,,,2,1898.392957,0.0,274.3934322,23397.53411,17164.07199,15697.36534,
6.328,515.19763,+,43075.06432,,,2,2266.52489,0.0,1316.543899,43075.06432,21081.21879,17715.89205,
6.331,770.53534,+,141985.7914,,,5,8328.812806,150.8487358,1440.378457,141985.7914,78333.75552,69805.82902,
6.332,1012.41498,+,377095.0576,,,2,1949.722395,0.0,281.8125814,377095.0576,144802.9918,122983.3295,
6.332,557.20844,+,105321.7418,,,3,5168.49995,0.0,3696.171995,105321.7418,88299.79035,72066.89649,
6.333,297.15213,-,19072.58007,,,2,13642.52494,2066.604956,0.0,19072.58007,9494.885774,10448.99872,
6.335,457.28299,+,2838687.403,,,5,2838687.403,0.0,70716.94005,2058572.043,2336379.065,2377430.089,
6.336,871.51215,+,944959.1223,,,3,26284.39306,0.0,785.9352398,944959.1223,511677.904,457416.1323,
6.336,739.6051,+,291851.5408,,,3,291851.5408,0.0,1801.596089,82489.79307,103358.1979,97358.57194,
6.336,1116.49194,+,96913.7586,,,2,1974.692667,0.0,285.4217808,96913.7586,36763.98501,36223.53844,
6.337,815.59174,+,2723790.171,,,4,2723790.171,0.0,3176.376303,1781259.449,2082278.205,2142604.22,
6.338,818.56604,+,162583.866,,,4,162583.866,0.0,191.6413117,62714.05536,79598.02014,93766.94484,
6.338,460.25726,+,45437.06605,,,4,45437.06605,0.0,1895.239678,16712.64427,26975.75151,28151.6234,
6.338,409.16129,+,36798.13346,,,4,36798.13346,0.0,2134.396105,15552.33962,19658.25134,22358.1357,
6.339,555.25128,+,166943.6165,,,4,165245.6935,0.0,10903.00409,136140.1405,136990.1382,166943.6165,
6.34,1096.41101,+,260042.5079,,,2,2334.913838,0.0,337.4880945,260042.5079,126801.7999,75193.27536,
6.34,417.32141,-,79400.89098,,,4,78898.82066,1029.193385,0.0,76029.336,79400.89098,76238.60122,
6.341,613.54022,-,36391.68799,,,4,34490.38792,4855.666826,0.0,35767.29632,35738.24891,36391.68799,
6.345,539.28772,+,260340.988,,,2,260340.988,0.0,4861.185376,55991.81033,62277.65236,69958.40132,
6.347,1024.49829,+,76335.06723,,,4,76335.06723,0.0,254.7300542,48686.20609,42363.51399,49190.87617,
6.35,511.35999,+,187353.1724,,,4,187353.1724,0.0,306.6165957,101709.8704,91061.2826,123563.9528,
6.35,744.58276,+,25635.69315,,,4,25635.69315,0.0,6080.973978,16115.21219,23254.10357,18235.77431,
6.351,641.57184,-,55197.87859,,,4,49352.30456,2212.742061,0.0,55197.87859,49149.69995,48828.25897,
6.354,832.20264,+,421900.6076,,,2,3944.784174,0.0,3036.575749,421900.6076,87889.25975,178375.5473,
6.366,425.30414,+,224114.3635,,,4,224114.3635,0.0,437.8652425,75732.19406,74769.95298,77895.49824,
6.372,519.2865,+,18297.6634,,,3,18297.6634,0.0,161.7004042,10957.39661,12957.55844,13482.26482,
6.372,395.22183,-,13070.65264,,,2,10708.0965,263.9598218,0.0,12267.64298,13070.65264,10612.14054,
6.373,844.4715,+,41242.25928,,,4,41242.25928,0.0,598.9283124,24211.62786,30478.06682,26225.11633,
6.379,295.26352,-,19931.94949,,,4,18680.90685,1704.172592,0.0,18718.99804,19385.38947,19931.94949,
6.395,433.30759,+,145233.3745,,,4,145233.3745,0.0,141.1043849,57626.60804,70088.65813,76598.82588,
6.401,920.58734,+,11187.19069,,,2,475.3296772,0.0,126.9311225,11187.19069,10414.79348,9577.700042,
6.404,933.58264,+,88340.69073,,,4,53441.33806,0.0,119.5935726,88340.69073,84258.58247,82188.40089,
6.407,880.54266,+,23415.26758,,,3,15030.8111,0.0,4435.69265,23415.26758,21238.51469,17327.48939,
6.421,467.40955,+,28355.50877,,,4,28355.50877,0.0,139.4444256,26799.08491,24627.37739,24218.03,
6.422,637.40796,-,17180.85471,,,4,17009.23657,184.0276946,0.0,17180.85471,17148.73376,16210.0334,
6.429,540.271,-,32058.69238,,,3,29031.68144,7025.384798,0.0,27306.74848,32058.69238,26587.81704,
6.451,644.20746,+,475987.3923,,,3,369694.4808,0.0,833.5377787,475987.3923,409504.421,377132.5022,
6.453,865.50708,-,44518.62739,,,4,44518.62739,251.2701745,108.5097585,29324.58685,20664.94163,17857.39502,
6.468,568.47876,+,22521.76555,,,4,22521.76555,0.0,7185.229089,18821.30249,17134.92628,18203.2469,
6.469,788.4693,-,20032.54297,,,4,15244.25064,273.6579841,0.0,19501.75571,20032.54297,15137.78434,
6.47,648.45966,+,1582774.616,PC 10:0_16:1,PC,8,1582774.616,0.0,579.1471088,1567938.837,1447493.852,1502797.186,
6.472,746.42877,+,15972.8953,,,4,15972.8953,0.0,193.2074609,12349.72798,12777.98742,13594.3444,
6.495,524.45288,+,17072.53574,,,4,17072.53574,0.0,4985.891954,12862.80362,11956.65002,12004.92651,
6.498,311.29495,-,20713.34845,,,4,11563.9834,2493.458269,0.0,16949.9112,20713.34845,16347.43129,
6.499,511.3396,-,14376.30329,,,2,9253.345876,223.6690662,0.0,12054.8302,14376.30329,13071.92076,
6.544,704.26581,+,90928.73248,,,3,81875.83056,0.0,1139.779409,90928.73248,89525.13358,70030.50722,
6.549,571.34015,-,102894.5532,,,5,34256.95623,674.0835654,0.0,102894.5532,76882.36033,68089.19344,
6.557,465.39392,+,25066.98723,,,3,14247.87262,0.0,213.7901738,22930.507,25066.98723,24808.47137,
6.558,524.27655,-,22812.74872,,,2,11106.07343,5957.692843,0.0,22812.74872,22737.16957,22567.21514,
6.56,413.30475,+,10943.29703,,,4,10711.61327,0.0,180.1095881,10758.62043,10943.29703,10547.84437,
6.578,879.23944,+,34574.42386,,,2,227.7590185,0.0,450.9686461,34574.42386,11059.93329,13295.33782,
6.595,531.30981,-,71660.68054,,,3,41948.20114,205.433483,0.0,70081.87082,71660.68054,69701.40815,
6.603,619.98999,+,18475.34165,,,2,641.225611,0.0,261.0758642,18475.34165,9697.742932,10377.91607,
6.619,873.51514,-,220198.6317,,,2,57999.8716,481.7506884,0.0,220198.6317,144932.219,149134.5375,
6.621,441.25189,-,376229.4522,,,4,344474.5276,8320.188286,0.0,375583.1585,376229.4522,337377.4379,
6.623,615.53711,-,373120.9103,,,4,191997.3383,1592.633366,0.0,351132.022,373120.9103,323213.3296,
6.623,971.75531,-,111255.0673,,,3,105038.8807,282.4759534,0.0,111255.0673,107424.5353,88799.616,
6.624,365.26605,-,2095372.71,,,4,1885244.451,22159.48015,0.0,2064903.664,2095372.71,2001177.311,
6.624,1068.41943,+,134842.1131,,,3,597.7460609,0.0,239.0640595,134842.1131,48929.28403,53778.94404,
6.624,1053.75647,-,113138.1029,,,3,92656.58021,299.17067,0.0,113138.1029,96635.5187,86249.72781,
6.624,844.13062,+,81130.26538,,,2,698.5112665,0.0,279.3643487,81130.26538,38954.92959,36882.43014,
6.624,1027.40894,+,28805.91041,,,2,520.5226261,0.0,208.1791252,28805.91041,10407.76983,13342.47408,
6.624,569.23499,+,27200.00788,,,4,27200.00788,0.0,1216.884089,18932.64727,21739.70727,21732.04337,
6.625,589.51611,-,648491.0588,,,4,488433.246,849.3691558,0.0,595008.2552,648491.0588,590163.8637,
6.625,842.1731,+,491866.4205,,,2,677.3123395,0.0,410.5390254,491866.4205,221646.5353,221212.6962,
6.625,1042.43848,+,382755.3176,,,3,669.3412511,0.0,267.6980195,382755.3176,174929.6352,181567.6667,
6.625,760.13184,+,372346.5978,,,2,673.3577768,0.0,269.3043989,372346.5978,152508.0819,149037.7796,
6.625,801.16071,+,235487.131,,,2,666.1898872,0.0,266.4376551,235487.131,105626.4378,104876.3046,
6.625,665.50256,-,211930.1529,,,4,188377.5584,284.1407869,0.0,209049.1103,211930.1529,179275.3349,
6.625,760.16418,+,206216.5329,,,2,703.2975471,0.0,281.2785857,206216.5329,97554.398,96327.95603,
6.625,760.20184,+,162785.6189,,,3,1188.592406,0.0,521.6256102,162785.6189,70747.01379,71146.31976,
6.625,383.18845,-,151463.8732,,,2,151463.8732,3094.20938,0.0,98708.76459,47061.6723,43313.35556,
6.626,283.2634,-,5.545737909E7,,,5,5.078675173E7,1929531.686,0.0,5.497646591E7,5.545737909E7,5.24453907E7,
6.626,816.18964,+,1112517.443,,,3,834.5950795,0.0,3235.861579,1112517.443,564440.9811,548851.7959,
6.626,656.22644,+,591475.0012,,,4,25464.41419,0.0,146618.887,487266.9449,551704.4754,591475.0012,
6.626,617.95734,+,230417.6772,,,3,839.0029383,0.0,12392.41853,230417.6772,108469.2136,85331.52857,
6.626,523.255,-,155764.9713,,,4,136966.3999,6004.728587,0.0,155764.9713,146599.9007,123535.3594,
6.626,760.23785,+,125679.0195,,,3,680.8529667,0.0,271.7719676,125679.0195,54138.78214,53974.98654,
6.626,687.57758,-,92197.01447,,,4,73544.9653,2090.855355,0.0,78728.89993,92197.01447,75726.05813,
6.626,844.20673,+,91807.61867,,,2,682.803794,0.0,273.0822627,91807.61867,41845.69422,39944.37918,
6.626,1135.75989,-,71664.14288,,,3,60292.64133,345.182234,0.0,66985.67933,71664.14288,54078.65013,
6.626,683.47455,-,62266.05749,,,4,38236.4762,1606.297987,0.0,57598.35731,61090.90267,62266.05749,
6.626,481.2146,+,15355.01401,,,2,15355.01401,0.0,263.7278725,11171.95469,11905.59587,13508.51617,
6.627,615.92438,+,593599.8423,,,2,828.5453616,0.0,8484.682799,593599.8423,294686.4015,280135.7859,
6.627,619.88184,+,115706.4015,,,3,966.109166,0.0,8716.29992,115706.4015,54242.8957,56772.8385,
6.627,780.14117,+,49636.85065,,,3,1408.885058,0.0,563.4730253,49636.85065,26929.49553,27944.73965,
6.628,747.50531,-,227713.3779,,,4,185561.3672,653.8473868,0.0,227713.3779,195358.5988,162976.3067,
6.628,669.22119,+,201500.5195,,,2,201500.5195,0.0,25098.53309,8483.885646,10782.27378,9794.205816,
6.628,829.50818,-,140873.4421,,,4,123658.1205,669.8991137,0.0,140873.4421,120894.4867,97534.60457,
6.629,753.52142,-,91546.22525,,,3,73505.73086,319.7689245,0.0,91546.22525,87690.54601,71763.20914,
6.63,447.2688,-,140157.5057,,,3,109275.1769,2304.425272,0.0,140157.5057,113413.3991,101000.1104,
6.631,695.35712,+,78543.45192,,,2,78543.45192,0.0,6220.198106,31446.32399,41506.62383,63287.48829,
6.632,729.62402,-,173187.1881,,,4,121783.4084,1260.487681,0.0,149935.6052,173187.1881,169861.3741,
6.634,457.30438,+,182687.0766,,,5,87362.55828,0.0,51567.67903,110920.2252,153755.8343,182687.0766,
6.634,1102.48596,+,85773.24876,,,5,667.0151963,0.0,266.7677313,85773.24876,54061.8409,59866.11434,
6.635,1007.65625,+,81625.77964,,,4,81625.77964,0.0,259.3910397,73694.01635,76224.34794,77028.16592,
6.64,634.4447,+,39557.4263,PE-NMe2 10:0_16:1,PE-NMe2,5,39557.4263,381.4604503,487.2450557,22461.29714,21268.36479,22967.67346,
6.643,919.60358,+,120994.1286,,,4,120529.0694,0.0,217.6574109,120994.1286,116975.7017,116195.8334,
6.65,395.24258,-,94311.89268,,,3,63164.48732,473.0478739,0.0,84390.31492,90867.17275,94311.89268,
6.651,892.54205,+,13536.01128,,,2,12783.82502,0.0,1683.495609,13536.01128,13206.71355,13471.66162,
6.652,983.56232,-,97372.22994,,,3,19879.36245,343.1174363,0.0,90452.72061,71730.61666,97372.22994,
6.674,859.53491,-,282611.5151,,,4,173903.5546,371.7717498,0.0,282611.5151,282168.0625,261260.4235,
6.675,377.30487,-,51019.00584,,,3,28238.8303,301.0461236,0.0,51019.00584,46348.97298,41881.03834,
6.681,748.5495,+,167230.7591,PC[OH] OH-32:1,PC[OH],4,167230.7591,0.0,2273.845457,121261.3802,109797.1736,110759.8482,
6.684,423.2894,-,128515.1634,,,4,106223.4707,264.7298865,0.0,128515.1634,119986.8492,119873.6933,
6.692,1215.67285,-,155232.5768,,,4,155232.5768,279.4214263,0.0,140430.0321,137083.322,129141.0889,
6.711,508.28036,-,28529.29191,,,3,15751.55449,9099.325435,0.0,28255.21768,28529.29191,26061.87366,
6.716,427.32019,-,466695.0465,,,4,395733.586,246.8380079,0.0,466695.0465,462545.3003,415010.9234,
6.716,353.28378,-,240212.6871,,,4,199800.6279,240.7639257,0.0,240212.6871,238366.3844,209285.7224,
6.729,585.3573,+,45856.21572,,,4,31523.24362,0.0,131.7229586,45856.21572,37462.2168,42076.64457,
6.751,309.27917,-,44542.0451,,,4,43525.24525,2666.488236,0.0,42943.01071,44542.0451,43127.70305,
6.755,591.29694,+,265693.5642,,,4,265693.5642,0.0,275.6731354,238376.638,219836.0421,212903.5507,
6.76,507.36542,+,15390.78414,,,3,15390.78414,0.0,1375.966142,8778.55402,12148.66962,12403.61228,
6.765,421.27332,+,476564.493,,,4,445047.4592,0.0,300.4095616,476564.493,446587.6544,438738.4846,
6.767,855.48602,-,28999.23314,,,5,12368.92335,2135.954116,0.0,17933.54743,14573.69231,28999.23314,
6.771,533.45721,+,8506.892606,,,4,8474.187662,0.0,138.1139708,8506.892606,8160.311523,8385.384961,
6.773,445.11987,+,709615.9737,,,6,709615.9737,0.0,83929.95535,143529.8638,130884.068,183905.7568,
6.781,429.08844,+,556441.3566,,,5,321065.1197,0.0,121571.595,556441.3566,505658.327,504208.7111,
6.789,411.32581,+,136571.8059,,,10,136571.8059,2228.709856,210.6364537,133352.9534,134720.8023,118021.7442,
6.789,527.15997,+,37294.06251,,,3,37294.06251,0.0,518.1485731,28026.95713,24062.46095,22973.20398,
6.797,430.38907,+,234108.0804,,,3,234108.0804,0.0,19325.01861,116171.8439,179571.1794,126432.5985,
6.809,413.26529,+,165299.4876,,,4,165299.4876,0.0,51596.31242,103841.2778,83793.8474,95239.72344,
6.809,599.37091,-,11618.73036,,,3,2826.172973,555.4059701,0.0,10308.80752,11618.73036,10126.04533,
6.842,466.47311,+,291029.9898,,,4,291029.9898,0.0,247.0559398,231789.8679,237514.1938,232082.1075,
6.852,627.6767,+,249492.5709,,,3,249492.5709,0.0,609.6347866,164970.5938,191820.5658,168186.2842,
6.852,478.50937,+,27711.02656,,,4,27711.02656,0.0,410.36279,25488.20514,26500.06333,23452.38102,
6.858,668.44629,+,28674.23197,,,4,18566.76759,0.0,225.1373614,19561.19695,22218.51644,28674.23197,
6.889,1151.67664,+,19065.668,,,3,11785.26382,0.0,126.5929385,19065.668,15418.4115,15469.40125,
6.893,495.44049,+,2465321.067,,,4,2187566.835,0.0,1102.30534,2465321.067,2262148.164,2222303.677,
6.894,800.52808,+,97606.85714,,,3,3318.359667,0.0,180.4257767,70389.14062,90351.9074,97606.85714,
6.895,1039.59009,-,16938.97764,,,2,3696.973664,213.7863545,0.0,16253.50013,16938.97764,11574.70353,
6.896,753.45453,-,2666811.929,PI 12:0_16:0,PI,7,2666811.929,271.2732359,355.9487306,2251920.913,2389327.155,2006666.133,
6.896,835.45758,-,147543.9223,,,4,114866.0777,283.4618985,0.0,147543.9223,145302.1176,117901.6108,
6.9,917.4599,-,53505.52824,,,3,40076.32401,274.2157717,0.0,51148.05502,53505.52824,37801.73841,
6.902,993.4458,-,30000.01235,,,2,23268.83501,280.6029562,0.0,30000.01235,29747.29439,21307.21355,
6.902,999.46289,-,25897.74812,,,2,19302.6341,272.8985596,0.0,25386.11389,25897.74812,17437.74903,
6.908,593.44202,+,55960.83372,,,2,55960.83372,0.0,5749.907157,52478.42309,41097.37384,45633.66651,
6.909,931.59277,-,59786.71264,,,4,32448.92341,360.5398463,0.0,59786.71264,58632.50133,44644.16081,
6.916,662.47455,+,24635.84429,,,4,24635.84429,0.0,191.3201769,24270.63504,22701.16368,22196.77936,
6.918,785.49469,+,63330.41685,,,4,63330.41685,0.0,452.1071896,44446.58729,42003.50708,36696.8831,
6.922,353.28378,-,289482.2249,,,4,208176.1009,235.6642721,0.0,289482.2249,270865.9434,264617.0219,
6.923,427.32028,-,562933.3459,,,4,478304.8744,241.532406,0.0,561499.0384,562933.3459,499916.8998,
6.929,1124.82397,+,63525.28253,,,4,63525.28253,0.0,8080.537911,57907.78626,54040.53613,50477.77551,
6.933,585.32104,-,95254.57815,,,6,68074.62242,272.3322142,172.1915875,95254.57815,93825.62048,80344.24947,
6.946,451.46216,+,25108.56587,,,4,25108.56587,0.0,450.3981822,20964.50188,21025.39986,19816.51312,
6.947,1080.79822,+,65054.08254,,,4,65054.08254,0.0,9369.433566,58763.69838,55377.65769,54253.11916,
6.963,952.50616,+,65888.40003,,,7,65888.40003,310.4585479,207.5800868,40056.2595,41263.30777,39814.65232,
6.964,599.59888,+,19575.08991,,,4,19575.08991,0.0,320.8012706,16988.88392,16295.75545,16356.87276,
6.966,435.25284,-,188748.3899,,,3,172570.1038,246.1898206,0.0,188748.3899,185525.4977,187685.846,
6.967,546.40668,+,58543.8862,,,2,58543.8862,0.0,2680.033952,17093.58416,22996.43808,23511.16707,
6.968,473.31793,+,251208.3021,,,4,251208.3021,0.0,23640.46691,197198.8169,184185.0869,180719.8971,
6.968,417.25479,+,29670.73771,,,2,14507.85755,0.0,3526.165429,29670.73771,28673.5666,26813.10396,
6.969,560.42297,+,61865.12772,,,3,61865.12772,0.0,2109.443159,14852.89702,14339.27604,11787.5438,
6.969,1036.77136,+,60530.78102,,,4,57860.54394,0.0,7855.677421,60530.78102,56873.19961,54122.87521,
6.978,489.2998,+,133749.2881,,,3,118906.3211,0.0,282.5919631,133749.2881,132387.6844,130123.7092,
6.983,680.45038,+,104303.696,,,7,104303.696,643.2335419,464.7495754,49434.30584,52815.25081,52311.38264,
6.983,992.74622,+,69344.6684,,,4,69344.6684,0.0,7340.267021,58702.31332,57196.10303,52496.70376,
6.993,655.42004,-,873762.6163,,,3,486591.025,241.9958941,0.0,873762.6163,826267.3186,760565.2719,
6.993,967.56842,-,795626.7567,,,4,368629.1168,246.1498926,0.0,795626.7567,779025.3648,782159.2054,
6.994,994.58716,-,123725.5268,,,4,73879.04529,249.1435533,0.0,123725.5268,108515.1361,104748.5852,
6.997,1091.5741,-,213687.5272,,,4,213687.5272,279.1360035,0.0,42454.18342,95735.20543,72593.93836,
6.997,991.66132,+,176766.6688,,,4,91877.29155,0.0,207.5343844,176766.6688,155249.7045,141567.0166,
6.997,929.57648,-,93394.0482,,,4,43269.54441,299.4747341,0.0,93394.0482,52096.14381,51330.11278,
7.0,893.49567,-,214539.9943,,,3,121886.8681,4513.792853,0.0,214539.9943,189514.2483,173003.3984,
7.0,554.43903,+,66666.29746,,,3,66666.29746,0.0,664.3386965,52278.4955,56904.5349,50876.72419,
7.004,311.29477,-,39808.2429,,,4,32467.74482,866.2451377,0.0,39808.2429,35597.90841,34792.68137,
7.006,948.71918,+,94021.65462,,,3,94021.65462,0.0,8529.93371,65248.59345,49013.07203,58863.45551,
7.007,943.47437,-,17166.0279,,,2,14369.45239,309.2639382,0.0,17166.0279,16059.32421,9430.559479,
7.009,779.47034,-,824515.1855,PI 14:0_16:1,PI,7,824515.1855,329.5133629,848.6524329,735890.3598,723912.3834,586904.6101,
7.009,521.45667,+,703446.2959,,,4,613753.0827,0.0,379.0460199,703446.2959,655040.5345,643128.5715,
7.01,635.40924,-,296989.6784,,,4,235140.795,427.4147649,0.0,296989.6784,285406.6484,277648.959,
7.01,861.47302,-,48344.2868,,,3,38660.35637,323.4427961,0.0,48344.2868,43502.24781,34609.0358,
7.022,867.52185,-,151599.6056,,,6,151599.6056,207.9822983,292.4573258,88012.30615,87997.81573,66867.3898,
7.029,904.69305,+,68388.40813,,,4,60466.253,0.0,16476.54353,68388.40813,65059.98207,53818.63575,
7.032,866.47083,-,87532.21689,,,7,52259.6253,26351.14284,0.0,54366.83333,87532.21689,67767.17766,
7.041,497.34454,+,20798.26568,,,2,20798.26568,0.0,162.317213,13392.4317,13685.15263,13637.82087,
7.042,355.29953,-,35508.31036,,,3,34168.16263,236.9327454,0.0,20643.24975,35508.31036,35328.67633,
7.056,860.66693,+,63949.2632,,,3,61263.40519,0.0,19666.20497,63949.2632,56040.82623,55454.87075,
7.06,406.30969,+,20487.01535,,,3,20487.01535,0.0,154.9729004,18522.82789,18331.64922,17824.42329,
7.063,459.30176,+,487074.1024,,,4,487074.1024,0.0,3883.486252,267007.1534,235929.6179,226853.1054,
7.063,403.23901,+,86658.89074,,,3,65894.62001,0.0,149.4581524,86658.89074,73492.8531,74018.65169,
7.063,635.52393,+,13081.00306,,,3,11466.65119,0.0,157.3604206,13081.00306,11546.7215,12718.17728,
7.064,978.52179,+,39432.46594,,,5,39432.46594,316.2213699,212.8382825,24344.14583,22620.03589,24205.48208,
7.066,504.35989,+,80841.21562,,,2,4476.084375,0.0,312.1769251,56523.60126,70970.76936,80841.21562,
7.069,550.59119,+,15568.39668,,,3,13092.93989,0.0,320.4573544,15568.39668,15080.52677,15172.19754,
7.078,915.54016,+,16750.16131,,,2,13709.71037,0.0,903.0309417,13877.87877,11853.34486,16750.16131,
7.079,778.52246,+,279647.4546,,,5,279647.4546,0.0,237.3713151,155617.8848,152234.2186,145948.75,
7.08,805.48584,-,4997916.195,PI 16:1_16:1,PI,6,4997916.195,228.9892413,281.7251689,4734226.19,4540999.913,3965340.973,
7.08,596.3327,-,200179.7431,,,5,103592.529,30829.49791,0.0,181170.4902,200179.7431,164212.6009,
7.08,850.47589,-,112142.2498,,,4,50177.00077,27360.48335,0.0,103022.2511,104938.2295,112142.2498,
7.08,816.63995,+,69626.4406,,,3,56830.11306,0.0,15475.34398,57914.16662,55382.66652,69626.4406,
7.08,1165.6803,-,31187.13121,,,3,13585.40376,331.6427416,0.0,31187.13121,20181.4486,25465.73637,
7.081,852.55847,+,189076.3673,,,3,5241.3537,0.0,143.5477546,103934.7541,168726.955,189076.3673,
7.082,969.49042,-,89383.47362,,,3,71675.08598,227.766042,0.0,88483.56781,89383.47362,69585.79742,
7.082,1045.47681,-,53228.23766,,,4,43553.13356,229.2380824,0.0,51974.07594,53228.23766,42074.50819,
7.083,963.47443,-,81951.7971,,,4,66468.44043,230.2813431,0.0,81522.39289,81951.7971,68617.92472,
7.084,706.46521,+,193367.5425,PS 14:0_16:1,PS,7,193367.5425,648.1213002,424.8615874,104745.9325,114616.931,113172.8988,
7.086,547.47119,+,3710354.885,,,3,2985130.879,0.0,320.7412387,3710354.885,3294910.388,3469045.619,
7.09,443.24594,-,504505.009,,,4,336855.7557,1823.847228,0.0,504505.009,482663.2452,425939.9805,
7.09,427.21436,-,50568.20605,,,3,33617.61766,276.3047414,0.0,50568.20605,44773.98831,40421.39201,
7.092,359.15244,-,66088.87437,,,3,39754.92415,278.9786687,0.0,66088.87437,64082.94319,50352.46982,
7.093,297.27884,-,239090.9745,,,3,204264.896,5027.863067,0.0,226126.904,239090.9745,219137.402,
7.095,662.40173,-,19335.11666,,,3,13011.30945,341.7482551,0.0,13587.89164,19335.11666,11303.2399,
7.106,429.33603,-,90133.69364,,,5,69071.46237,245.265968,0.0,90133.69364,86348.35874,45711.21043,
7.112,873.21741,+,283707.5294,,,3,569.8712141,0.0,1530.524913,283707.5294,154962.9773,158386.6204,
7.12,425.30499,-,199716.1743,,,7,145751.6132,272.0654339,0.0,199716.1743,194563.9111,173979.766,
7.144,560.40973,-,13039.40605,,,2,10182.00182,354.4669849,0.0,12043.56051,13039.40605,10543.27211,
7.15,683.46259,+,74458.65306,,,4,74458.65306,0.0,287.8700095,62935.04017,70309.97241,62589.40667,
7.155,639.42542,+,51184.32462,,,4,34794.91672,0.0,2283.280414,51184.32462,45512.44928,47119.3786,
7.155,916.45258,-,44920.00337,,,4,43591.36064,585.265432,0.0,44920.00337,40196.08731,31941.54411,
7.155,998.45471,-,17851.16636,,,2,17722.20966,533.0932745,0.0,17851.16636,16477.66166,13049.05314,
7.156,910.43579,-,95905.35355,,,4,74440.59811,628.4455171,0.0,95905.35355,93669.05427,75837.2384,
7.156,992.43829,-,62756.02179,,,4,40564.28683,623.1188506,0.0,46128.91844,62756.02179,47899.63324,
7.156,788.40057,+,44137.5326,,,4,25075.22576,0.0,844.5493924,44137.5326,39599.86982,35938.87363,
7.157,831.55096,+,785228.7316,,,3,747813.7877,0.0,272.8576019,740823.8837,785228.7316,757822.8634,
7.157,770.42725,+,467128.7858,,,3,467128.7858,0.0,1686.685066,301309.6239,348021.0935,330522.4595,
7.158,752.4469,-,278972.5154,,,3,235780.6312,647.4236907,0.0,249773.6108,227963.8927,278972.5154,
7.158,1074.44104,-,36174.34336,,,4,29814.1109,683.6407524,0.0,36174.34336,31576.71708,27645.51203,
7.159,732.48041,+,9755414.654,PS 16:1_16:1,PS,7,9755414.654,624.121104,1836.332645,4982299.122,4938403.645,4964083.784,
7.161,892.33356,+,25147.18996,,,2,6250.993394,0.0,900.7010476,25147.18996,17497.56057,13526.79765,
7.166,987.61774,-,200193.4316,,,3,106456.3182,297.0511238,0.0,200193.4316,171229.2636,139374.1193,
7.167,1047.68677,+,99156.29998,,,4,51765.18292,0.0,277.5498073,99156.29998,91521.19416,80548.43555,
7.169,770.42749,+,354011.5097,,,3,354011.5097,0.0,1313.429762,253998.5706,272109.0843,272094.987,
7.179,634.44427,-,58947.91449,,,4,58947.91449,580.5343115,0.0,56790.65725,58938.96791,56925.84908,
7.18,650.47504,+,4681908.618,PC 26:0,PC,4,4681908.618,0.0,6980.473434,4294134.881,4156636.26,4108363.843,
7.186,678.16736,+,48192.40342,,,4,45480.27522,0.0,1478.43811,44206.3399,48192.40342,43357.04466,
7.214,769.46747,-,30704.92817,,,3,15647.44979,456.2501339,0.0,30704.92817,27438.3781,24985.69285,
7.218,709.47778,+,117403.2244,,,4,117403.2244,0.0,447.6538685,102456.2464,105234.8585,91347.24514,
7.224,596.50842,+,55346.25547,,,3,55346.25547,0.0,6299.683,30978.65942,31246.19131,28379.50751,
7.231,764.54272,+,108312.9194,,,4,108312.9194,0.0,738.7085081,98082.26321,96781.93455,94839.7804,
7.245,485.31418,+,80119.79339,,,3,80119.79339,0.0,404.0535121,60983.4978,65775.04614,62494.34737,
7.247,425.30383,+,181142.9873,,,3,181142.9873,0.0,198.4053253,47789.94412,49495.11201,46029.47971,
7.247,898.50195,-,62548.04983,,,4,47658.93857,268.2180607,0.0,62548.04983,60458.93144,45371.46086,
7.248,892.48511,-,65314.59429,,,3,54125.67204,2368.465834,0.0,63425.50116,65314.59429,57306.27277,
7.249,734.54315,+,210896.0407,,,3,210896.0407,0.0,164.5976789,66475.7444,68562.76194,65874.71685,
7.249,783.45288,+,17171.44424,,,3,17171.44424,0.0,213.1211024,8243.317343,13137.47716,12640.10072,
7.25,676.49066,+,1.107548258E7,PC 12:0_16:1,PC,8,1.107548258E7,0.0,686.1070366,9954397.514,9678054.132,9548991.933,
7.25,816.49945,-,191770.7567,,,4,159524.2939,261.3974513,0.0,173599.2618,191770.7567,164095.4666,
7.25,774.45856,+,105824.6618,,,4,105824.6618,0.0,224.643806,83735.9722,86880.60571,85296.39122,
