Retention Time (min),Quant Ion,Polarity,Area (max),Identification,Lipid Class,Features Found,Yeast_PS.raw (F1),JAS_Blank_Neg.raw (F2),JAS_Blank_Pos.raw (F3),Yeast_Neg_1.raw (F4)+Yeast_Pos_1.raw (F7),Yeast_Neg_2.raw (F5)+Yeast_Pos_2.raw (F8),Yeast_Neg_3.raw (F6)+Yeast_Pos_3.raw (F9),
0.667,617.5235,+,12261.64336,,,3,12261.64336,0.0,97.07400375,11581.36288,12174.059,11812.31591,
0.669,452.1846,+,1800338.592,,,5,1800338.592,97.74723036,1470.68722,972498.9146,991338.3223,953803.0583,
0.67,403.21164,-,16758.33681,,,2,14358.77432,140.0031349,0.0,16758.33681,16280.69605,7894.160403,
0.671,297.13336,-,607845.7082,,,4,597728.8072,247.0216138,0.0,569495.5793,607845.7082,516501.3315,
0.671,339.18027,-,61616.5843,,,4,48063.28622,1839.602192,0.0,61159.04046,58978.96928,61616.5843,
0.672,619.27301,+,104935.117,,,4,104935.117,0.0,882.5452349,15138.08823,14224.31992,13670.83796,
0.674,631.53735,+,21863.80031,,,4,21863.80031,0.0,128.3450305,17608.0428,19713.51812,17736.11593,
0.674,415.21133,-,14338.62183,,,2,13078.36411,206.2707232,0.0,13561.31427,14338.62183,13609.21854,
0.679,348.07001,+,254878.5436,,,3,254878.5436,669.5896084,1609.132975,26107.447,47435.54174,50465.91557,
0.68,492.40283,+,18538.33445,,,3,18538.33445,0.0,1195.559523,14520.75404,15627.57573,16220.65246,
0.681,515.22595,-,47276.84897,LysoPI 12:0,LysoPI,4,40437.82785,120.7129707,0.0,47276.84897,46087.39132,43219.93969,
0.682,478.3829,+,15910.87671,,,3,15910.87671,0.0,332.1592057,11490.36277,13146.99485,11883.97777,
0.685,412.24591,+,175153.178,LysoPC 10:0,LysoPC,4,175153.178,0.0,931.5617047,105497.1558,103198.5745,103301.969,
0.685,525.25018,+,39191.70346,,,5,39191.70346,147.7102086,2547.944759,15536.32593,17719.30227,16791.37126,
0.685,484.14951,+,18421.38511,,,3,13384.07766,0.0,99.06152589,18421.38511,13910.0784,13174.17629,
0.686,517.47064,+,16384.63052,,,2,16384.63052,0.0,84.67766719,14747.38329,14892.12269,14253.81007,
0.689,423.40616,+,27908.03373,,,2,27908.03373,0.0,370.7463662,17701.17699,23118.44125,18852.02965,
0.691,530.13873,+,14566.40983,,,2,12244.42436,0.0,88.61828411,14566.40983,12268.81057,11357.20494,
0.713,379.15417,-,70972.76997,,,3,45732.75044,105.8629126,0.0,64556.85925,70972.76997,66528.48911,
0.722,396.21457,-,44536.12531,,,3,44536.12531,111.1910305,0.0,18231.82895,17448.38282,21718.34185,
0.723,531.89008,+,484162.8296,,,2,484162.8296,0.0,98584.94085,111556.1856,166530.6239,210744.5622,
0.728,552.20166,-,22240.28393,,,2,8967.049915,69.8093856,0.0,22240.28393,11203.47213,10904.65775,
0.757,512.33612,+,20512.58985,,,3,20512.58985,0.0,1532.481905,11832.84636,11785.34121,13056.40618,
0.765,293.17526,-,34662.33106,,,2,20148.80632,665.8960903,0.0,30212.07769,34662.33106,28417.58312,
0.77,449.21716,-,28458.44519,,,3,28458.44519,131.6764203,0.0,20610.32869,20845.25776,22570.18974,
0.793,569.30725,+,109557.3038,,,2,109557.3038,0.0,330.8219414,28506.26039,28935.67357,32635.83143,
0.799,440.27689,+,472256.9713,LysoPC 12:0,LysoPC,7,472256.9713,0.0,247.7738902,293608.1788,359618.2613,369152.1034,
0.815,493.24194,+,25742.80403,,,4,25742.80403,0.0,229.5782961,20101.43937,25355.38762,21845.60165,
0.82,309.15216,-,44045.06766,,,3,28462.14707,1797.76603,0.0,36123.47893,44045.06766,36331.69669,
0.822,355.2269,-,172375.4237,,,3,139217.9959,1615.884517,0.0,134979.2039,172375.4237,118484.3724,
0.823,569.27173,-,1103271.976,LysoPI 16:1,LysoPI,6,982010.0428,1521.859716,621.4987192,1103271.976,1081490.984,972013.1731,
0.824,609.23395,+,38116.35945,,,2,38116.35945,0.0,511.3949757,35270.91129,34578.18306,32771.13257,
0.829,399.21652,-,243524.6921,,,4,176957.5652,2091.93447,0.0,243524.6921,225419.8491,200126.2302,
0.832,387.21671,-,15488.66933,,,2,12151.21137,1348.512053,0.0,15488.66933,13166.243,9228.362602,
0.838,535.26617,+,43418.93381,,,2,28574.18446,0.0,299.5597143,39624.94823,40784.40122,43418.93381,
0.84,496.26611,+,1243149.72,,,7,1243149.72,1488.294923,828.6482693,439955.3241,501973.2148,512214.7787,
0.842,297.15195,-,1723808.664,,,5,1175747.873,55284.6495,0.0,1537003.367,1723808.664,1583374.064,
0.843,534.21301,+,29022.8725,,,3,29022.8725,0.0,418.5792243,26973.4306,23633.89274,21837.37936,
0.858,466.29172,+,180365.0104,LysoPC 14:1,LysoPC,5,180365.0104,0.0,531.69648,135597.203,142156.7881,134956.1202,
