Name,Base,Formula,Enabled
t21:0,Phytosphingoid,C18H37O1,true
t21:1,Phytosphingoid,C18H35O1,true
t21:2,Phytosphingoid,C18H33O1,true
t22:0,Phytosphingoid,C19H39O1,true
t22:1,Phytosphingoid,C19H37O1,true
t22:2,Phytosphingoid,C19H35O1,true
O-16:1,Ether,C16H31O1,true
O-16:2,Ether,C16H29O1,true
O-16:3,Ether,C16H27O1,true
O-16:4,Ether,C16H25O1,true
O-17:0,Ether,C17H35O1,true
O-17:1,Ether,C17H33O1,true
O-17:2,Ether,C17H31O1,true
O-17:3,Ether,C17H29O1,true
O-18:1,Ether,C18H35O1,true
O-18:2,Ether,C18H33O1,true
O-18:3,Ether,C18H31O1,true
O-18:4,Ether,C18H29O1,true
O-19:0,Ether,C19H39O1,true
O-19:1,Ether,C19H37O1,true
O-19:2,Ether,C19H35O1,true
O-19:3,Ether,C19H33O1,true
O-19:4,Ether,C19H31O1,true
O-20:1,Ether,C20H39O1,true
O-20:2,Ether,C20H37O1,true
O-20:3,Ether,C20H35O1,true
O-20:4,Ether,C20H33O1,true
O-21:0,Ether,C21H43O1,true
O-21:1,Ether,C21H41O1,true
O-21:2,Ether,C21H39O1,true
O-21:3,Ether,C21H37O1,true
O-21:4,Ether,C21H35O1,true
O-22:0,Ether,C22H45O1,true
O-22:1,Ether,C22H43O1,true
O-22:2,Ether,C22H41O1,true
O-22:3,Ether,C22H39O1,true
O-22:4,Ether,C22H37O1,true
O-23:0,Ether,C23H47O1,true
O-23:1,Ether,C23H45O1,true
O-23:2,Ether,C23H43O1,true
O-23:3,Ether,C23H41O1,true
O-23:4,Ether,C23H39O1,true
O-24:0,Ether,C24H49O1,true
O-24:1,Ether,C24H47O1,true
O-24:2,Ether,C24H45O1,true
O-24:3,Ether,C24H43O1,true
O-24:4,Ether,C24H41O1,true
O-25:0,Ether,C25H51O1,true
O-25:1,Ether,C25H49O1,true
O-25:2,Ether,C25H47O1,true
O-25:3,Ether,C25H45O1,true
O-25:4,Ether,C25H43O1,true
O-26:0,Ether,C26H53O1,true
O-26:1,Ether,C26H51O1,true
O-26:2,Ether,C26H49O1,true
O-26:3,Ether,C26H47O1,true
O-26:4,Ether,C26H45O1,true
