Checked,Ion,Charge,Molecular Weight,m/z,RT [min],FWHM [min],# MI,Area,Parent Area [%],Study File ID
FALSE,[M+H]+1,1,703.51055,704.51782,8.252,0.132,5,195701691.9,100,F1
FALSE,[M-H]-1,-1,886.55153,885.54425,8.516,0.08,5,195655739.8,100,F2
FALSE,[M+H]+1,1,767.54082,768.5481,10.097,0.08,4,194878925.6,100,F7
FALSE,[M+H]+1,1,767.54161,768.54889,10.123,0.079,4,194737100.1,47.318,F1
FALSE,[M+H]+1,1,757.55608,758.56335,9.025,0.07,4,194225033.3,100,F7
FALSE,[M+H]+1,1,767.54076,768.54803,10.169,0.08,4,193655701.3,100,F5
FALSE,[M+H]+1,1,331.32143,332.3287,3.816,0.128,4,192682408.6,100,F1
FALSE,[M-H]-1,-1,743.54243,742.53516,10.2,0.086,6,192317739.9,100,F6
FALSE,[M+H]+1,1,757.55681,758.56409,9.042,0.071,2,191647718.8,100,F3
FALSE,[M+H]+1,1,732.54363,733.5509,8.996,0.107,2,190762697.9,100,F3
FALSE,[M+H]+1,1,875.78777,876.79504,18.156,0.118,5,190199711.7,100,F3
FALSE,[M+H]+1,1,745.55705,746.56433,9.468,0.088,5,190066586.3,100,F5
FALSE,[M+H]+1,1,812.67156,813.67883,11.758,0.081,4,188788313.9,100,F7
FALSE,[M+H]+1,1,745.55669,746.56396,9.399,0.089,5,186654118.2,100,F7
FALSE,[M+H]+1,1,745.55675,746.56403,9.433,0.087,5,185186893.8,100,F3
FALSE,[M+H]+1,1,757.55675,758.56403,9.049,0.069,3,185112582.2,100,F1
FALSE,[M+H]+1,1,331.321,332.32828,3.841,0.134,4,183597861.2,100,F5
FALSE,[M+H]+1,1,758.55895,759.56622,9.15,0.148,3,183228914.4,100,F7
FALSE,[M+H]+1,1,331.32115,332.32843,3.748,0.136,4,183225162,100,F7
FALSE,[M+H]+1,1,732.54363,733.5509,9.127,0.088,3,182422516.3,100,F3
FALSE,[M+H]+1,1,807.57115,808.57843,9.056,0.095,5,181957697.3,100,F5
FALSE,[M+H]+1,1,703.50969,704.51697,8.297,0.101,5,181585404.9,100,F5
FALSE,[M+H]+1,1,812.67137,813.67865,11.805,0.083,4,180804869.1,100,F3
FALSE,[M+H]+1,1,331.32109,332.32837,3.742,0.137,5,180189928.9,100,F3
FALSE,[M+H]+1,1,812.67204,813.67932,11.8,0.08,4,179899186.1,100,F1
FALSE,[M-H]-1,-1,845.60902,844.60175,9.938,0.098,5,178421862.1,100,F4
FALSE,[M+H]+1,1,783.57189,784.57916,9.362,0.215,3,176627405.9,100,F5
FALSE,[M+H]+1,1,812.67137,813.67865,11.848,0.082,4,176374916.8,100,F5
FALSE,[M-H]-1,-1,845.60914,844.60187,9.953,0.098,5,175890527.2,100,F6
FALSE,[M+H]+1,1,757.55626,758.56354,9.085,0.069,2,175329319.1,100,F5
FALSE,[M+H]+1,1,703.50987,704.51715,8.237,0.119,4,174351786.1,100,F7
FALSE,[M+H]+1,1,807.57128,808.57855,9.025,0.095,5,174155296.9,100,F3
FALSE,[M+H]+1,1,807.57128,808.57855,8.998,0.096,5,172603785.7,100,F7
FALSE,[M+H]+1,1,807.57164,808.57892,9.021,0.095,5,171625581.1,100,F1
FALSE,[M+H]+1,1,732.5435,733.55078,9.165,0.081,3,171353978.8,100,F5
FALSE,[M+H]+1,1,805.55638,806.56366,8.695,0.112,3,170591170.4,100,F1
